Scopus - Analyze author output

"Author name:","Bajpai, Saumendra"
"Scopus author ID:","23970095000"

"Co-authors:","39"

"Co-author","Co-authored documents"

"Wirtz,Denis","8"
"Longmore,GregoryD.","4"
"Gilkes,DanieleM.","3"
"Feng,Yunfeng","3"
"Semenza,GreggL.","3"
"Chaturvedi,Pallavi","3"
"Reinhart-King,CynthiaA.","2"
"Hubbi,MaimonE.","2"
"Sun,Sean","2"
"Wong,Carmenchaklui","2"
"Giri,Anjil","2"
"Tirumkudulu,MaheshS.","1"
"Razafsky,DavidS.","1"
"Marchand,Jorge","1"
"Hale,ChristopherM.","1"
"Lob,HeinrichE.","1"
"Sayah,LeonaAl","1"
"Zang,Shu","1"
"Hodzic,DidierM.","1"
"Figueiredo,Joana","1"
"Wei,Hong","1"
"Santhanam,Lakshmi","1"
"Khatau,ShyamB.","1"
"Celedón,Alfredo","1"
"Krishnamurthy,Ranjini","1"
"Bloom,RyanJ.","1"
"Jayatilaka,Hasini","1"
"Wu,Peihsun","1"
"Suriano,Gianpaolo","1"
"Pitcairn,Stephen","1"
"Simões-Correia,Joana","1"
"Seta,Francesca","1"
"Weisbrod,RobertM.","1"
"Fry,JessicaL.","1"
"Shiang,Tina","1"
"Mitchell,GaryF.","1"
"Kim,Nayoung","1"
"COHEN,RichardAlan","1"
"Trenton,NicholausJ.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
