Scopus - Analyze author output

"Author name:","Banerjee, Anuradha"
"Scopus author ID:","8357444100"

"Co-authors:","27"

"Co-author","Co-authored documents"

"Rajesh,RavindranNair","3"
"Mayya,Ashwij","3"
"Rashid,FaizanMd","3"
"Velmurugan,R.","3"
"Hancock,JohnW.","3"
"Rajendran,Mahadevan","2"
"Jha,DeepakK.","2"
"Scheider,Ingo","2"
"Boyina,Dhatreyi","2"
"Bezensek,Bostjan","2"
"Taylor,ThomasA.","1"
"Dhatreyi,B.","1"
"Manivasagam,R.","1"
"VivekBharadwaj,M.","1"
"Sreedhar,B.K.","1"
"Bharadwaj,MadhuVivek","1"
"Kirubakaran,T.","1"
"Rajkumar,G.","1"
"Praveen,P.","1"
"ShravanKumar,R.R.","1"
"Rangaraj,R.","1"
"Kanhurkar,Nishant","1"
"Kokini,Klod","1"
"Mourya,R.K.","1"
"Pokale,Bharat","1"
"Gupta,Sayan","1"
"Nijin,I.S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
