Scopus - Analyze author output

"Author name:","Manivannan, Muniyandi"
"Scopus author ID:","35746637700"

"Co-authors:","52"

"Co-author","Co-authored documents"

"Srinivasan,MandayamA.","10"
"Suganthi,Lakshmanan","6"
"Hemalatha,K.","5"
"Biswas,Abhijit","4"
"Chakravarthy,VaddadiSrinivasa","4"
"Vasudevan,Hari","4"
"Koul,MajidH.","4"
"MohamedYacin,S.","4"
"Periyasamy,R.","4"
"De,Suvranu","3"
"Kim,Jung","3"
"Yacin,SikkandarMohamed","3"
"SrinivasaChakravarthy,V.","3"
"RaghuPrasad,M.S.","2"
"Saha,Subirkumar","2"
"Srikanth,Manohar","2"
"Chandramohan,ServarayanMurugesan","2"
"Kanakapriya,K.","2"
"Kim,Hyun","2"
"Saha,Subirkumar","2"
"Narayanamurthy,V.B.","2"
"Viswajith,S.V.","1"
"Basdogan,Cagatay","1"
"Devasahayam,SureshR.","1"
"Kim,Jung","1"
"Prasad,M.SRaghu","1"
"Oliveira,ManuelG.","1"
"Manoharan,Govindan","1"
"Joseph,GeorgeK.","1"
"Suresh,PawanKumar","1"
"Parasnis,Rohit","1"
"Prakash,CelineE.","1"
"Kunwar,BrajeshKumarUmar","1"
"Mortensen,Jesper","1"
"Slater,Mel","1"
"Shamsunder,S.C.","1"
"Jordan,Joel","1"
"Mitesh,Khadgi","1"
"Thanikachalam,Sadagopan","1"
"Majid,Koul","1"
"Tay,BoonK.","1"
"Danda,Debashish","1"
"Lim,Yije","1"
"Biswas,AbhijitK.","1"
"Shah,SurilV.","1"
"Rattner,DavidW.","1"
"SusmithaWils,K.","1"
"Suresh,Devasahayam","1"
"Mathew,George","1"
"Pawar,Akshay","1"
"Mandali,AlekhyaKumar","1"
"RajaNarayanamurthy,VengesanaBalakrish","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
