Scopus - Analyze author output

"Author name:","Patnaik, B. S V P"
"Scopus author ID:","7006245516"

"Co-authors:","42"

"Co-author","Co-authored documents"

"Vedantam,Srikanth","6"
"Prasad,BhamidiVSSS","5"
"Seetharamu,KankanhalliN.","5"
"Wei,Guowei","5"
"Ranjith,S.Kumar","4"
"AswathaNarayana,P.A.","4"
"Muddada,Sridhar","4"
"Velusamy,K.","3"
"Wan,Decheng","3"
"Pothukuchi,Harish","2"
"Chellapandi,Perumal","2"
"Chauhan,AmitK.","2"
"Satpathy,KamalaKanta","2"
"Sanapala,V.S.","1"
"Muralidharan,K.V.","1"
"Ashwin,Peter","1"
"Gowda,Y.TKrishne","1"
"Sarkar,Abhijit","1"
"Ravisankar,M.S.","1"
"Badalassi,VittorioE.","1"
"Sahu,RajKumarUmar","1"
"Hewitt,G.F.","1"
"Wright,ClareDavid","1"
"Mathew,Sam","1"
"Huang,C.Ming","1"
"Anand,VijayS.","1"
"SubhashReddy,M.","1"
"Murallidharan,JananiSrree","1"
"PrasannaKumar,S.S.","1"
"Shaiju,A.J.","1"
"Zhou,Yongcheng","1"
"KrishneGowda,Y.T.","1"
"Joanne,C.L.","1"
"Liu,Guirong","1"
"Jayaganthan,R.","1"
"Narayana,P.AAswatha","1"
"Das,PramodeK.","1"
"Pai,S.A.","1"
"Dhanwani,ManishA.","1"
"Rao,B.N.","1"
"Anand,D.Vijay","1"
"Prakash,Periasamy","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
