Scopus - Analyze author output

"Author name:","Puthenveettil, Baburaj A."
"Scopus author ID:","9276783100"

"Co-authors:","11"

"Co-author","Co-authored documents"

"Arakeri,JaywantH.","5"
"Hopfinger,EmilJ.","2"
"Gunasegarane,G.S.","2"
"Sangeeth,Krishnan","1"
"Agrawal,YogeshK.","1"
"Senthilkumar,VijayaK.","1"
"Koothur,Vipin","1"
"Schmeling,Daniel","1"
"Reddy,G.VR","1"
"Bosbach,Johannes","1"
"Ananthakrishna,Garani","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
