Scopus - Analyze author output

"Author name:","Ramesh, Karthik P."
"Scopus author ID:","55581400800"

"Co-authors:","34"

"Co-author","Co-authored documents"

"NeethiSimon,B.","6"
"Ashokan,K.","5"
"Kasimayan,T.","5"
"Ramji,Manoharan","5"
"Ramakrishnan,Vivek","4"
"Madhu,K.R.","4"
"Dasari,N.","3"
"Hariprasad,MohanPrasanna","3"
"Kannusamy,Ragupathy","3"
"Prasath,R.GR","3"
"Tamrakar,D.K.","2"
"Blasch,ErikPhilip","2"
"Anand,VijayS.","2"
"TarkesDora,P.","2"
"KarthickBabu,P.RD","2"
"Gupta,ShrutiK.","2"
"Ragupathy,K.","2"
"Gadre,V.Y.","1"
"Gupta,Shivendu","1"
"Prashant,P.L.","1"
"Sanyal,Dipayan","1"
"Simon,BerndNeethi","1"
"Devvrath,K.","1"
"Srivastava,AmitK.","1"
"Baig,Iqbal","1"
"Tiwari,Nivedan","1"
"Nithila,E.","1"
"Hall,DougR.","1"
"Ravichandran,MaruthiT.","1"
"Rao,Venkat","1"
"Hall,DavidE.","1"
"Babu,K.Praveen","1"
"Bhuvanewari,S.","1"
"Kale,Sohan","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
