Scopus - Analyze author output

"Author name:","Rao, C. Lakshmana"
"Scopus author ID:","7403017204"

"Co-authors:","31"

"Co-author","Co-authored documents"

"Sivakumar,SrinivasanM.","4"
"Simhachalam,Bade","4"
"Rao,B.N.","4"
"Ghouse,M.D.","3"
"Srinivas,Krishna","3"
"Nair,RajeshP.","3"
"Chellapandi,Perumal","2"
"Koola,PaulMario","2"
"Sathiyanarayanan,S.","1"
"Narayanamurthy,V.","1"
"Voinov,AlexeyA.","1"
"Kumar,RanvijaySuresh","1"
"Babu,KodeboyinaGanesh","1"
"Varughese,Susy","1"
"Balasubramaniam,KrishnanS.","1"
"Indira,R.P.","1"
"Sethuraman,Raju","1"
"Gali,Rajeshwar","1"
"Krishnamurthy,ChittivenkataV.","1"
"Bhoje,VidyaS.","1"
"Raj,RituVigel","1"
"Padmanabhan,Chramouli","1"
"Akhilesan,S.","1"
"Sathiyanarayan,S.","1"
"Mini,R.","1"
"Ramu,Palaniappan","1"
"Kolagani,Nagesh","1"
"Krishnasrinivas,K.","1"
"Shankar,VinayN.","1"
"Hassan,Sunir","1"
"Baskaran,Ganesan","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
