Scopus - Analyze author output

"Author name:","Reddy, Mrs Ramasubba S"
"Scopus author ID:","56659588100"

"Co-authors:","50"

"Co-author","Co-authored documents"

"Paul,JosephSuresh","8"
"Vijayalakshmi,PaulrajR.","6"
"Kumar,VaradarajanJagadeesh","6"
"Srinivasan,Kannan","4"
"Dauwels,Justin","4"
"Thanikachalam,S.","3"
"Manivannan,J.","3"
"Radhakrishnan,Swaminathan","3"
"Rao,K.Prahlad","2"
"Sujatha,NarayananUnni","2"
"Prabhakar,B.","2"
"Kumar,RohitAjay","2"
"Jayanthy,A.K.","2"
"JagadeeshKumar,V.","2"
"Priya,PonnurajKirthi","2"
"Mahalakshmi,P.","2"
"Bhatt,Bhargav","2"
"Srikanth,ThiagarajanR.","2"
"Naidu,VijayPS","2"
"O'Shaughnessy,DouglasJ.","2"
"Minhas,AtulS.","1"
"Varghese,Rajiv","1"
"Narayanamoorthy,V.B.","1"
"Sriranjani,R.","1"
"Umesh,Srinivasan","1"
"Muralidharan,T.R.","1"
"Govindan,RathinaswamyBhavanandhan","1"
"Prabhakar,D.","1"
"Napper,StanA.","1"
"Murthy,HemaA.","1"
"SrihariMukesh,T.M.","1"
"Madheswaran,Muthusamy","1"
"Raja,KiranBommanna","1"
"Sridevi,M.R.","1"
"Kiruthika,N.V.","1"
"Prakash,Anusha","1"
"Swaranamani,S.","1"
"Calloway,JamesA.","1"
"Murthy,IvaturiSN","1"
"Jaganathan,V.","1"
"VimalKumar,Y.M.","1"
"Narayanan,Krishnamurthi","1"
"Vellagoundar,Jaganathan","1"
"Kannan,Srinivasan","1"
"Thyagarajah,Kuppusamy","1"
"Vialatte,FrançoisBenoît","1"
"Nagarajan,Thareswari","1"
"Cichocki,Andrzej","1"
"Kavitha,ManniledamK.","1"
"Gopinathan,M.S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
