Scopus - Analyze author output

"Author name:","Roy, Anubhab"
"Scopus author ID:","55996167800"

"Co-authors:","14"

"Co-author","Co-authored documents"

"Govindarajan,Rama","2"
"Subramanian,Ganesh","2"
"Suárez,SusanS.","1"
"Wu,Mingming","1"
"Koch,DonaldL.","1"
"Bale,Rahul","1"
"Caulfield,C.P.","1"
"Roy,Debasish","1"
"Ghosh,Susanta","1"
"Tung,Chihkuan","1"
"Ardón,Florencia","1"
"BALMFORTH,NeilJ.","1"
"Chandrasekaran,Srinivasan","1"
"Jose,Sharath","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
