Scopus - Analyze author output

"Author name:","Sathian, Sarith P."
"Scopus author ID:","38661769500"

"Co-authors:","14"

"Co-author","Co-authored documents"

"Prabha,SoorajK.","7"
"Gopan,Nandu","4"
"Babu,JeetuSSuresh","3"
"Nair,AnjanR.","3"
"Thekkethala,JoeFrancis","2"
"Kurian,Job","2"
"Uday,Swathi","1"
"Sekhar,Suneeth","1"
"Feroskhan,Mir","1"
"GopalM.,Murali","1"
"Chellattoan,Ragesh","1"
"Sreehari,P.D.","1"
"SreeHari,P.D.","1"
"Krishnan,T.VSachin","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
