Scopus - Analyze author output

"Author name:","Swaminathan, Ramakrishnan"
"Scopus author ID:","36500401200"

"Co-authors:","13"

"Co-author","Co-authored documents"

"Marri,Kiran","7"
"Manoharan,SujathaChinnaswamy","2"
"Ramaniharan,AnandhKilpattu","1"
"Rajeshwari,P.M.","1"
"Sridhar,BanblaTharakaNarendra","1"
"Subramaniam,PriyadarshiniC.","1"
"Kulkarni,Sushant","1"
"Krishnamurthy,Kamalanand","1"
"Srinivasan,SuganthiSalem","1"
"Ramu,Palaniappan","1"
"Makaram,Navaneethakrishna","1"
"EdwardJero,S.","1"
"Anandan,Kavitha","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
