Scopus - Analyze author output

"Author name:","Thittai, Arun K."
"Scopus author ID:","36028700900"

"Co-authors:","47"

"Co-author","Co-authored documents"

"Ophir,Jonathan","15"
"Krouskop,ThomasA.","6"
"Galaz,BelforAntonioGalaz","4"
"Righetti,Raffaella","4"
"Xia,Rongmin","4"
"Garra,BrianStephenMD","3"
"Mobbs,LouiseM.","2"
"Kraemer-Chant,ChristinaM.","2"
"Srinivasan,Seshadri","2"
"Bankson,JamesJamesA.","2"
"Glover,JohnR.","2"
"Schwartz,DavidL.","2"
"Yamal,JoséMiguelJ","2"
"Ktonas,PeriklisY.","2"
"Lemos,RobertN.","2"
"Powis,GarthW.","2"
"He,Yi","2"
"Chekuri,Srinivasa","1"
"VonHoff,DanielD.","1"
"Lai,Stephen","1"
"Chintada,BhaskaraRao","1"
"Peng,Zhenghong","1"
"Gelovani,JuriGelovani","1"
"Karayiannis,NicolaosB.","1"
"Alauddin,MianM.","1"
"Tao,Guozhi","1"
"Raghavan,Bagyam","1"
"Bornmann,WilliamGB","1"
"Mizrahi,EliM.","1"
"Muktevi,Venu","1"
"Frost,JamesD.","1"
"Hostetter,GalenH.","1"
"Demeure,MichaelJ.","1"
"Mukherjee,Amit","1"
"Shastry,Mruthyunjaya","1"
"Oh,Junghwan","1"
"Volgin,AndreiY.","1"
"Mitra,Joyeeta","1"
"Sowmiya,C.","1"
"Soghomonyan,SurenA.","1"
"Xia,Rongmrin","1"
"Nishii,Ryuichi","1"
"Subramani,AdhityaVikraman","1"
"Kothawala,AliArshad","1"
"Williams,RyanR.","1"
"Hrachovy,RichardA.","1"
"Mukhopadhay,Uday","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
