Scopus - Analyze author output

"Author name:","Vengadesan, Sankaranarayanan N."
"Scopus author ID:","14036387600"

"Co-authors:","42"

"Co-author","Co-authored documents"

"Lankadasu,Anjaneyulu","5"
"Paul,Immanuvel","4"
"Nakayama,Akihiko","4"
"Sudhakar,Y.","4"
"Prakash,KiranArul","4"
"Nithiarasu,Perumal","3"
"ArulPrakash,K.","3"
"Ayyappan,T.","2"
"Narasimhan,J.L.","2"
"Shaafi,K.","2"
"Poornima,Josyula","2"
"Sundararajan,Thirumalachari","2"
"Ramesh,VisvanathanP.","2"
"Chitra,K.","2"
"KalyanaRaman,S.","2"
"Naik,SandeepN.","2"
"Tulapurkara,E.G.","2"
"ShyamKumar,M.B.","2"
"Pulletikurthi,V.","1"
"Shereena,S.G.","1"
"Mishra,Virag","1"
"Yokojima,Satoshi","1"
"Lakshminarasimhan,J.","1"
"Kumar,D.Pramod","1"
"Idichandy,V.G.","1"
"DoraPallicity,Tarkes","1"
"Selvaganesh,P.","1"
"Sanyasiraju,YvssVSSS","1"
"Gowda,BalaramHLakshmana","1"
"Padmanabhan,Chramouli","1"
"SharathChandra,K.","1"
"Kumaran,M.","1"
"Idicliandy,V.G.","1"
"Sekarapandian,N.","1"
"Mahajan,Puneet","1"
"Radhakrishnan,Sreedevi","1"
"Bhattacharyya,SubrotoKumar","1"
"Prakash,K.Aral","1"
"Bhattachaiyya,S.K.","1"
"Ramesh,Krishnamurthi","1"
"Sony,C.","1"
"SeetaRatnam,G.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
