Scopus - Analyze author output

"Author name:","Bhaskar, K."
"Scopus author ID:","7007049571"

"Co-authors:","17"

"Co-author","Co-authored documents"

"Varadan,T.K.","12"
"Pydah,Anup","3"
"Jana,Prasun","3"
"Librescu,LiviuI.","3"
"Kshirsagar,S.","3"
"Ganapathysaran,N.","3"
"Kaushik,B.","2"
"Umasree,P.","2"
"Ali,J.SM","2"
"Pradeep,V.","1"
"BharatKalyan,J.","1"
"Ramachandran,J.","1"
"Dhaoya,J.","1"
"Balasubramanyam,G.","1"
"Varadan,T.K.","1"
"Ganesan,Natrajan","1"
"Sivaram,A.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
