Scopus - Analyze author output

"Author name:","Ghosh, Santanu"
"Scopus author ID:","55478977500"

"Co-authors:","10"

"Co-author","Co-authored documents"

"Choi,Jungil","7"
"Edwards,JackR.","7"
"Sharma,Pushpender","4"
"Subramanian,Shashank","1"
"Girdhar,Anant","1"
"Gieseking,DanielA.","1"
"Sandhu,JatinderPalSingh","1"
"Varma,Deepak","1"
"Ramakrishnan,Rakesh","1"
"Eischen,JeffreyW.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
