Scopus - Analyze author output

"Author name:","Keralavarma, Shyam M."
"Scopus author ID:","16233833100"

"Co-authors:","14"

"Co-author","Co-authored documents"

"Benzerga,AhmedAmine","12"
"Curtin,WilliamArthur","2"
"Hoelscher,S.A.","1"
"Surovik,DavidA.","1"
"Mahesh,Sivasambu","1"
"Arsenlis,Athanasios","1"
"Kiener,Daniel","1"
"Gupta,Ankit","1"
"Bower,AllanFrancis","1"
"Çağın,Tahir","1"
"Guruprasad,P.J.","1"
"Dehm,Gerhard","1"
"Chockalingam,S.","1"
"Rajaguru,M.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
