Scopus - Analyze author output

"Author name:","Kumar, Amit"
"Scopus author ID:","36111220300"

"Co-authors:","13"

"Co-author","Co-authored documents"

"Kumar,ChenthilPalani","6"
"Chidambaram,PalaniKumar","4"
"T'ien,JamesS.","4"
"Raghavan,Vasudevan","3"
"Avinash,Govindaraju","3"
"Cheeda,VijayKumar","2"
"Malhotra,Vinayak","2"
"Ramamurthi,Kandasamy","2"
"KiranKumar,M.N.","1"
"MansoorAli,Seik","1"
"Tolejko,Kevin","1"
"Shih,Hsinyi","1"
"Kumar,KiranMAshwin","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
