Scopus - Analyze author output

"Author name:","Mahesh, Sivasambu"
"Scopus author ID:","8888755000"

"Co-authors:","33"

"Co-author","Co-authored documents"

"Beyerlein,IreneJ.","7"
"ArulKumar,M.","4"
"Singh,Jaiveer","4"
"Phoenix,StuartLeigh","4"
"Samajdar,IndradevD.","4"
"Saibaba,Nudurupati","4"
"Kumar,Gulshan","4"
"Dey,GautamKumar","3"
"Tomé,CarlosN.","3"
"Üstündaǧ,Ersan","2"
"Pant,PritaVKrishna","2"
"Srivastava,DineshKumar","2"
"Roy,Shomic","2"
"Hanan,JayC.","2"
"McCabe,RodneyJ.","1"
"Srivastava,DivyaK.","1"
"Habeeb,C.NIrfan","1"
"AbubakkerSithickbasha,A.","1"
"Kumar,ManojArul","1"
"Bourke,MarkAM","1"
"Kaschner,GeorgeC.","1"
"Sithickbasha,A.Abubakker","1"
"Misra,Amit","1"
"Gupta,Ankit","1"
"Brown,DonaldW.","1"
"Parameswaran,Venkitanarayanan","1"
"Srivastava,Dipti","1"
"Clausen,Björn","1"
"Dey,GautamKumar","1"
"Venkitanarayanan,P.","1"
"Zhu,Yuntian","1"
"Swift,GeoffreyA.","1"
"Keralavarma,ShyamM.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
