Scopus - Analyze author output

"Author name:","Mathur, Manikandan"
"Scopus author ID:","7202643044"

"Co-authors:","33"

"Co-author","Co-authored documents"

"Peacock,Thomas","6"
"Sameen,A.","2"
"Selvi,NaduvilethadathilRajan","2"
"Dauxois,Thierry","2"
"Gostiaux,Louis","2"
"John,NeenaSusan","2"
"Kulkarni,GiridharU.","2"
"Carter,GlennS.","2"
"Mercier,MatthieuJ.","2"
"Haller,George","2"
"Govindarajan,Rama","2"
"Ruggiero,FrankH.","1"
"Ortiz,Sabine","1"
"Ruppert-Felsot,JoriElan","1"
"Samoilov,MichaelS.","1"
"Chakravarthy,SatyanarayananR.","1"
"Sreenivas,Kidambi","1"
"Artyomov,MaximN.","1"
"Gerkema,Theo","1"
"Sampath,Ramgopal","1"
"Martinand,Denis","1"
"Swinney,HarryL.","1"
"Chomaz,JeanMarc","1"
"Hahn,DouglasC.","1"
"DaSilva,JoséCB","1"
"Chakraborty,ArupK.","1"
"AjithKumar,S.","1"
"MagalhÃes,JorgeM.","1"
"Dasgupta,Ratul","1"
"Nagarathinam,David","1"
"AnilLal,S.","1"
"Tang,Wenbo","1"
"Dubos,Thomas","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
