Scopus - Analyze author output

"Author name:","Muruganandam, Thiruchengode M."
"Scopus author ID:","6507156481"

"Co-authors:","65"

"Co-author","Co-authored documents"

"Seitzman,JerryM.","12"
"Lieuwen,TimC.","6"
"Nair,Suraj","6"
"Zinn,BenT.","5"
"Chakravarthy,SatyanarayananR.","5"
"Neumeier,Yedidia","5"
"Thomas,SonuK.","4"
"Sujith,RamanI.","3"
"Olsen,RichardT.","3"
"Chakraborty,Aritra","3"
"Kim,B.H.","3"
"Raghavan,Vasudevan","3"
"Patel,ManishD.","3"
"Romig,BryanW.","3"
"Prakash,ShashvatM.","2"
"Sarma,SumitAS","2"
"Ramesh,R.","2"
"Jagoda,JeffI.","2"
"Ramprakash,A.","2"
"Pradeep,S.Nalin","2"
"Nori,VenkataN.","2"
"Meyers,AndrewJ.","2"
"Morrell,M.R.","2"
"Ampi,ArunK.","2"
"Manikandan,B.","2"
"Preethi,R.S.","1"
"Held,TimothyJ.","1"
"Sen,A.K.","1"
"Ramesh,AsvathanarayananA.","1"
"ManojPrabakar,S.","1"
"Verma,HarendraK.","1"
"Raju,Nandhini","1"
"Roy,RahulDutta","1"
"Farida,Zeenathul","1"
"Sanders,ScottT.","1"
"Rangwala,AliS.","1"
"OsbornOliver,M.","1"
"Mongia,HukamC.","1"
"Takao,Manabu","1"
"Viswamurthy,SathyamangalamRamanarayanan","1"
"Ravindran,MuthukamatchiP.","1"
"Sriram,Subramanian","1"
"Jayashankar,V.","1"
"Sivaram,B.M.","1"
"Setoguchi,Toshiaki","1"
"Scarborough,DavidE.","1"
"Lakshmi,SrihariVijaya","1"
"Jayaraj,J.","1"
"Mala,K.","1"
"Nagata,Shuichi","1"
"Toyota,Kazutaka","1"
"Aditya,KumarPatra","1"
"Seitzman,JerryM.","1"
"Sachan,MayankSingh","1"
"Prabakar,Manoj","1"
"Hanson,Ronald","1"
"Medhi,Biswajit","1"
"RajeshKanna,N.","1"
"Ramanan,Vikram","1"
"Kurian,Job","1"
"Safaei,S.","1"
"Mattison,DanielW.","1"
"Manu,N.M.","1"
"Santhakumar,Sundarm","1"
"Sujith,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
