Scopus - Analyze author output

"Author name:","Rajesh, G."
"Scopus author ID:","56686086700"

"Co-authors:","15"

"Co-author","Co-authored documents"

"Kim,Heuydong","8"
"Setoguchi,Toshiaki","6"
"Matsuo,Shigeru","3"
"Lijo,Vincent","2"
"Back,S.C.","1"
"ArunKumar,R.","1"
"Lee,J.M.","1"
"Mittal,Ankit","1"
"Muthukumaran,C.K.","1"
"Raghunathan,SrinivasanRaghu","1"
"Kang,H.G.","1"
"Nakabaru,Takafumi","1"
"Hashimoto,Tokitada","1"
"Kim,Hueydong","1"
"Mishra,R.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
