Scopus - Analyze author output

"Author name:","Ramakrishna, Manjeshwar V S"
"Scopus author ID:","15061948900"

"Co-authors:","37"

"Co-author","Co-authored documents"

"Vasudevan,Vinita","4"
"Ramachandran,Prabhu","4"
"Rajan,SenthilC.","3"
"Karunasiri,R.PG","3"
"Nepal,Surya","3"
"Sujith,RamanI.","2"
"Sridhar,Uppili","2"
"Larson,PerÅke","2"
"Neužil,Pavel","2"
"Chung,Yunmo","1"
"Manimaran,R.","1"
"Stone,RobertB.","1"
"Pramod,T.P.","1"
"Tao,Luoyi","1"
"Burman,A.","1"
"Bahcekapili,E.","1"
"Sundar,K.","1"
"Zeng,Wenjiang","1"
"Vucovich,JaysonP.","1"
"Larson,PerÅke","1"
"Portice,G.A.","1"
"Ramos,EdgarA.","1"
"Sumanasekara,Santha","1"
"Rajagopal,KumbakonamRamamani","1"
"Bhardwaj,Nikhil","1"
"Chen,Geng","1"
"Ramakrishna,PeriyapatnaA.","1"
"Ho,HoiHei","1"
"Sriramulu,V.","1"
"Subrahmanyam,P.Bala","1"
"Dash,RanjitK.","1"
"Fu,E.","1"
"KanakaDurga,K.","1"
"Mohan,SwatiR.","1"
"Thom,JamesA.","1"
"Thakur,Mayur","1"
"BalaSubrahmanyam,P.V.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
