Scopus - Analyze author output

"Author name:","Sameen, A."
"Scopus author ID:","12645183400"

"Co-authors:","28"

"Co-author","Co-authored documents"

"Kim,Heuydong","4"
"SanalKumar,ValsalayamR.","4"
"Govindarajan,Rama","4"
"Govindarajan,Rama","3"
"Raghunandan,BasavanahalliN.","3"
"Setoguchi,Toshiaki","3"
"Raghunathan,SrinivasanRaghu","3"
"Sreenivasan,KatepalliR.","2"
"Swaminathan,Gayathri","2"
"Sooraj,R.","2"
"Verzicco,R.","2"
"Mathur,Manikandan","2"
"AjithKumar,S.","2"
"Sahu,KirtiChandra","2"
"Sarkar,Sunetra","1"
"Chikkadi,VijayakumarK.","1"
"Bale,Rahul","1"
"Ilango,SanthoshJudeJoseph","1"
"Choi,Bogyu","1"
"Govindarajan,Rama","1"
"Procaccia,Itamar","1"
"Kim,K.H.","1"
"Nair,K.Aswathy","1"
"L'vov,VictorS.","1"
"AnilLal,S.","1"
"Lee,Junhee","1"
"Nagarathinam,David","1"
"AnilLal,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
