Scopus - Analyze author output

"Author name:","Sarkar, Sunetra"
"Scopus author ID:","7403239010"

"Co-authors:","32"

"Co-author","Co-authored documents"

"Venkatraman,KartikA.","9"
"Gupta,Sayan","7"
"Witteveen,JeroenAS","5"
"Nair,VineethV.","5"
"Desai,AjitN.","5"
"Sujith,RamanI.","4"
"Bijl,Hester","4"
"Rychlik,Igor","3"
"Badrinath,Sandeep","3"
"Venkatesh,Suhas","3"
"Venkatramani,J.","3"
"Bose,Chandan","2"
"Bijl,HildoJ.","2"
"Ilango,SanthoshJudeJoseph","2"
"Dubey,JainendraK.","2"
"Remigius,W.Dheelibun","2"
"Loeven,Alex","2"
"Godbole,SiddheshM.","2"
"Lal,HridyaP.","2"
"Sameen,A.","1"
"Jith,Jithin","1"
"Krishnan,AnushS.","1"
"Patel,Mayank","1"
"Chajjed,Sandip","1"
"Garg,Shaurya","1"
"Dattaguru,B.","1"
"Thanusha,M.T.","1"
"Devathi,Harshini","1"
"Singasani,Vishwanath","1"
"Biji,Hester","1"
"Kandagal,S.B.","1"
"Loeven,G.JA","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
