Scopus - Analyze author output

"Author name:","Sinha, Nandan Kumar"
"Scopus author ID:","7202706121"

"Co-authors:","15"

"Co-author","Co-authored documents"

"Ananthkrishnan,Narayan","8"
"Khatri,AmitKumar","5"
"Singh,JatinderPal","4"
"Venkatesan,RaghavHarini","3"
"Vinayagam,A.K.","2"
"Tiwari,Anshul","2"
"Narang-Siddarth,Anshu","1"
"Jangid,Mamta","1"
"Hagedorn,Peter","1"
"Wankhede,ManishR.","1"
"VenkateswaraRao,D.MKK","1"
"Gupta,NitinK.","1"
"Rao,D.MKKVenkateswara","1"
"Vora,Anuj","1"
"Hun,Ramesh","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
