Scopus - Analyze author output

"Author name:","Sujith, Raman I."
"Scopus author ID:","7004078700"

"Co-authors:","145"

"Co-author","Co-authored documents"

"Chakravarthy,SatyanarayananR.","18"
"Nair,VineethV.","14"
"Tyagi,Manav","12"
"Unni,VishnuR.","12"
"Balasubramanian,Koushik","11"
"Zinn,BenT.","9"
"Kabiraj,Lipika","9"
"Jagoda,JechielI.","8"
"Karthik,B.","8"
"Subramanian,Priya","8"
"Waldherr,GregorA.","7"
"Mariappan,Sathesh","7"
"Gopalakrishnan,E.A.","5"
"Wahi,Pankaj","5"
"Polifke,W.","5"
"Sarkar,Sunetra","4"
"Pesala,Bala","4"
"Santosh,H.","4"
"Lieuwen,TimC.","4"
"Vishnu,R.","4"
"Schmid,PeterJ.","4"
"Subrahmanyam,P.Bala","4"
"Kowsik,B.VR","4"
"Thampi,Gireeshkumaran","4"
"Iqbal,SaeedMdNavid","3"
"Muruganandam,ThiruchengodeM.","3"
"Ramesh,AsvathanarayananA.","3"
"Gurubaran,R.Kumara","3"
"Ravi,NikhilT.","3"
"Tulsyan,Bharat","3"
"Venkateswarlu,N.","3"
"Kumar,BrijeshMadhan","3"
"Kurian,Job","3"
"BalaSubrahmanyam,P.V.","3"
"Tony,J.","2"
"Kulkarni,RahulR.","2"
"Hodges,DeweyH.","2"
"Blumenthal,RalfS.","2"
"Varun,A.V.","2"
"Kaisare,NiketS.","2"
"Ramesh,R.","2"
"Muugesan,Meenatchidevi","2"
"Nagaraja,SharathB.","2"
"Rayapudi,V.","2"
"Pradeep,S.Nalin","2"
"Kedia,KushalS.","2"
"Durga,K.Kanaka","2"
"Viswamurthy,SathyamangalamRamanarayanan","2"
"Agarwal,Harshal","2"
"Sivaram,B.M.","2"
"Seshadri,Akshay","2"
"Murugesan,Meenatchidevi","2"
"Selimefendigil,Fatih","2"
"Aghalayam,PreetiA.","2"
"Mondal,Sirshendu","2"
"Ramanarayanan,B.","2"
"KumaraGurubaran,R.","2"
"Lakshmi,SrihariVijaya","2"
"Venkatramani,J.","2"
"Agharkar,Pushkarini","2"
"Akhil,K.T.","2"
"Saurabh,Aditya","2"
"JosephGeorge,K.","2"
"Sreelekha,E.","2"
"Gupta,Sayan","2"
"Ramakrishna,ManjeshwarVS","2"
"Kakkassery,J.K.","1"
"Pulikkottil,V.V.","1"
"Suresha,Suhas","1"
"Emmert,Thomas","1"
"Samadhan,Pawar","1"
"YogeshPrasaad,M.S.","1"
"John,Tony","1"
"Karuppusamy,Sulochana","1"
"Nalini,Mukherjee","1"
"Kumar,Arvind","1"
"Tiyyagura,S.","1"
"Venkareswarlu,N.","1"
"Varghese,P.Vinu","1"
"Bomberg,Sebastian","1"
"Vadivukkarasan,M.","1"
"Zinn,BenT.","1"
"Gopalan,Saravanan","1"
"Darvemula,U.","1"
"Karimi,Nader","1"
"Ramakrishnan,Rajesh","1"
"Sharma,YogitaC.","1"
"Alessandra,Bigongiari","1"
"Raj,AnilKanni","1"
"Thaker,I.H.","1"
"Merk,M.","1"
"Balachandran,Ramanarayanan","1"
"Balasubramaniam,Koushik","1"
"Muruganandami,T.M.","1"
"Jaensch,Stefan","1"
"Nawroth,Holger","1"
"Rana,SubhasChandra","1"
"Vasu,S.Subith","1"
"Mukhopadhyay,Achintya","1"
"Manohar,Arun","1"
"Daniel,BradyR.","1"
"Maria,Heckl","1"
"Menon,Suresh","1"
"Pawar,SamadhanA.","1"
"Dutta,ParthaSharathi","1"
"Reddy,PrajwalNagiNarasimha","1"
"Sriram,Subramanian","1"
"Mohanraj,R.Krishna","1"
"Patnaik,R.K.","1"
"Jegadeesan,Vivekanandan","1"
"Juniper,MatthewPudan","1"
"Scarborough,DavidE.","1"
"Vishwamurthy,S.R.","1"
"George,NitinBabu","1"
"GaneshAnavaradham,T.K.","1"
"Krishnan,Arjun","1"
"PandurangaReddy,A.","1"
"George,Joseph","1"
"Panneerselvam,S.","1"
"Disseau,Mael","1"
"Muralidharan,Srevatsan","1"
"Radhakrishnan,Anand","1"
"Raj,E.Arun","1"
"Raghunathan,Manikandan","1"
"Shreenivasan,OblaJ.","1"
"Lakhsmi,Srihari","1"
"Patle,MuneshKumar","1"
"Ramamurthi,Kandasamy","1"
"Veeraragavan,Ananthanarayanan","1"
"SaiKumar,T.","1"
"ManojKumar,BalabhadrapatruniVenkata","1"
"Gupta,VikrantK.","1"
"Ross,S.Vivek","1"
"Tulapurkara,E.G.","1"
"Govardhan,RaghuramanN.","1"
"Chakravarthay,S.R.","1"
"Panchagnula,MaheshV.","1"
"George,K.Joseph","1"
"Deependran,B.","1"
"Paschereit,OliverOliver","1"
"Emerson,Benjamin","1"
"Chen,F.","1"
"Shanbhogue,SantoshJ.","1"
"Somandepalli,V.S.","1"
"PanduRangaReddy,A.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
