Scopus - Analyze author output

"Author name:","Aradhyam, Gopala Krishna"
"Scopus author ID:","6505477040"

"Co-authors:","33"

"Co-author","Co-authored documents"

"Gummadi,SathyanarayanaNaidu","3"
"Kanuru,Madhavi","3"
"Manoj,Narayanan","3"
"Sahu,SantoshKumar","2"
"Kumar,PrashantPradeep","2"
"Singh,Vibha","2"
"Pilli,VijayaSatishSekhar","2"
"Balivada,LavanyaMadhuri","2"
"Tripathi,Ashish","1"
"Lehmann,Nicole","1"
"Kumar,RaghavannairSuresh","1"
"Sonavane,UddhaveshBhaskar","1"
"Kotha,BhanuP.","1"
"Vidhya,BalasubramanianShanthi","1"
"Ghosh,Anirban","1"
"Ashokan,Anisha","1"
"Fahmy,Karim","1"
"Gupta,Kartik","1"
"Anuradha,D.","1"
"Gupta,KapilL.","1"
"Kamesh,N.","1"
"Nagesh,Narayana","1"
"Raman,Rajeev","1"
"Hotha,Srinivas","1"
"Samuel,JebakumarJ.","1"
"Francis,VincentGerardErard","1"
"Pilli,SatishVSS","1"
"Vadivel,Prabahar","1"
"Joshi,RajendraR.","1"
"Nair,SanthoshPNagappan","1"
"Andhirka,SaiKrishna","1"
"Aishwarya,K.G.","1"
"Mohammed,AbdulM.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
