Scopus - Analyze author output

"Author name:","Bera, Amal Kanti"
"Scopus author ID:","57188622806"

"Co-authors:","121"

"Co-author","Co-authored documents"

"Sahu,Giriraj","10"
"Maji,SamirKumar","7"
"Tewari,Debanjan","6"
"Senapati,Sanjib","6"
"Allu,PrasannaKR","5"
"Mahapatra,NitishR.","5"
"Das,SudiptoB.","4"
"Ghosh,Subhendu","4"
"Sahu,BhavaniS.","4"
"Sonawane,ParshuramJ.","3"
"Poornima,V.","3"
"Mullasari,AjitS.","3"
"Sasi,BinuK.","3"
"Swain,SandipMadhusudan","3"
"Dascal,Nathan","3"
"Vorobiov,DmitryS.","2"
"Mukhopadhyay,Mohona","2"
"Chatterjee,Suvro","2"
"Mohan,Jagan","2"
"Vallabhaneni,Sirisha","2"
"Giri,Hemant","2"
"Obbineni,JaganMohan","2"
"Keren-Raifman,Tal","2"
"Akabas,MylesH.","2"
"Luo,Xiang","2"
"Chirasani,VenkatR.","2"
"Ghosh,Paramita","2"
"Gomathi,BalashankarS.","2"
"Dixit,MadhulikaN.","2"
"Singh,PradeepKumar","2"
"Singh,PradeepKumar","2"
"Muallem,Shmuel","2"
"Subramanian,Lakshmi","2"
"Ghosh,Dhiman","2"
"Jetti,SureshKumar","2"
"Kumar,PutchaUday","1"
"Chandel,Shivam","1"
"Banerjee,Rinti","1"
"Saran,Uttara","1"
"Joksić,Gordana","1"
"Peleg,Sagit","1"
"Sundaresan,AbayaMeenakshiEenakshi","1"
"Kumar,Arvind","1"
"Kesavan,Rushendhiran","1"
"Dasari,Sathish","1"
"Sureshan,KanaM.","1"
"Mohite,GaneshMarutiAruti","1"
"Wilkie,ThomasM.","1"
"Ahmed,Tofayel","1"
"Preethidan,D.S.","1"
"Müllner,Carmen","1"
"Arya,Richa","1"
"Sridhar,Sucheta","1"
"Mahankali,Madhu","1"
"Prathap,Annamalai","1"
"Mandaokar,AjinD.","1"
"Talukdar,Pinaki","1"
"Fleming,Ingrid","1"
"Ganugula,Raghu","1"
"Jadhav,VivekS.","1"
"Parameswaran,Sreejit","1"
"Soto-Pantoja,DavidR.","1"
"Fißlthaler,Beate","1"
"Chandrasekhar,Anjana","1"
"Sukumaran,Sunitha","1"
"Rathnakumar,K.","1"
"Kumar,PolumetlaAnanda","1"
"Sachidanandan,Divya","1"
"Madhavan,Nandita","1"
"Mukherjee,ArnabK.","1"
"Roberts,DavidD.","1"
"Sujatha,G.","1"
"Uppal,Sheetal","1"
"Ghosh,A.","1"
"JaffarAli,BaquirMohammedJaffar","1"
"Uezono,Yasuhito","1"
"Kapoor,Abhijeet","1"
"Mani,Anitha","1"
"Reddy,GeereddyBhanuprakash","1"
"Zveig,Dror","1"
"Bendre,R.","1"
"Mohan,Harit","1"
"Chatav,Maya","1"
"Priya,ManiKrishnaRishna","1"
"Upadhyay,S.","1"
"Savant,Soniya","1"
"Jha,NarendraNath","1"
"Witherow,D.Scott","1"
"Schreibmayer,Wolfgang","1"
"Majumder,Syamantak","1"
"Jacob,ReebaSusan","1"
"Zhao,Xiaosong","1"
"Vijayvergiya,Viksita","1"
"Suraishkumar,GadiK.","1"
"Barathkumar,T.R.","1"
"Kootar,Scherazad","1"
"Potunuru,UmaRani","1"
"Augustin,HellmutG.","1"
"Nag,Alo","1"
"Frohnwieser-Steinecker,Bibiane","1"
"Shin,Dongmin","1"
"Maheswari,KrishnanUma","1"
"Sahay,ShrutiR.","1"
"Verma,RamaShanker","1"
"Jaiswal,Neha","1"
"Barzilai,Rachel","1"
"Singh,PradeepK.","1"
"Chandra,Arti","1"
"Kundu,Suman","1"
"Singh,PradeepK.","1"
"Saha,Tanmoy","1"
"Sharma,RameshwarP.","1"
"Nekkanti,MadhavSiva","1"
"Carvalho,Edmund","1"
"Slepak,VladlenZ.","1"
"Popov,SergueiG.","1"
"Goldy,Naga","1"
"Singh,AmitKumar","1"
"Ram,Uma","1"
"Basak,Debajyoti","1"
"Yakubovich,Daniel","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
