Scopus - Analyze author output

"Author name:","Chadha, Anju K."
"Scopus author ID:","7003802046"

"Co-authors:","89"

"Co-author","Co-authored documents"

"Bhattacharya,Enakshi","19"
"Fernandez,RennyEdwin","7"
"Venkataraman,Sowmyalakshmi","6"
"Padhi,SantoshKumarUmar","5"
"Devamani,Titu","5"
"Pandian,GaneshGanesh","5"
"Veeramani,MohanasundaramSulurSulur","4"
"Ravi,RamamurthyGnana","4"
"Saravanan,Thangavelu","4"
"Ratchagar,NoelPrashant","4"
"Baskar,Baburaj","4"
"Karmee,SanjibKumar","4"
"Reddy,SabbasaniRajasekhara","4"
"Priya,KuttikodeKrishna","4"
"Sivakumari,Thakkellapati","3"
"Stella,Selvaraj","3"
"Gummadi,SathyanarayanaNaidu","3"
"Mahajabeen,Pula","3"
"Mishra,AshokKumar","3"
"Vuram,PrasannaK.","3"
"Mathew,Arun","3"
"Lokeswari,T.Srinivasan","3"
"Bhadra,Priyanka","3"
"Kaliaperumal,Tarjan","3"
"Basu,Indranil","3"
"Manohar,Madhura","3"
"Patel,PareshN.","3"
"Preetha,Radhakrishnan","3"
"Vaijayanthi,T.","3"
"Subuddhi,Usharani","3"
"Narayan,Shoba","3"
"Vemulachedu,Hareesh","2"
"Stolyarova,SaraS.","2"
"Krishnan,KapilAnoop","2"
"Mudher,KhushDevSingh","2"
"Shajahan,M.S.","2"
"Rani,KailashE.","2"
"Jayadevan,N.C.","2"
"Reddy,R.RaviKumar","2"
"Pavan,Shanthi","2"
"Nemirovsky,Yael","2"
"Chackraburtty,D.M.","2"
"Vidya,P.","2"
"Sampath,Sangeetha","2"
"Soundararajan,T.","2"
"Subramanian,RamanVenkata","2"
"Krishnaji,SreevidhyaTarakkad","1"
"SinghMudher,KhushDev","1"
"Shyam,Prakash","1"
"Prabhakar,Amit","1"
"Sugan,Mercy","1"
"Sudhakara,Sneha","1"
"Mohanasundaram,S.V.","1"
"Chandna,D.","1"
"Mahesh,Putluru","1"
"Gautham,Namasivayam","1"
"Harikrishna,P.V.","1"
"Ganesh,Sujatha","1"
"Ravikumar,G.","1"
"Venugopal,Venkatarama","1"
"Rai,S.","1"
"Mercy,SusanE.","1"
"Shyam,KaruppiahPrakash","1"
"Bbattacharya,Enakshi","1"
"Kumar,SawanSathish","1"
"Kumar,R.Ravi","1"
"Roy,RonyK.","1"
"Aggarwal,Nidhi","1"
"Kumar,GobbakaRavi","1"
"Kayastha,ArvindMohan","1"
"Goergens,Ulrich","1"
"Schneider,ManfredP.","1"
"Selvakumar,Rajendran","1"
"Venugopal,Thangavel","1"
"SomaSekhar,B.V.","1"
"Jana,Sushital","1"
"Hareesh,Vemulachedu","1"
"Kathel,G.","1"
"Mandal,PradeepKumarUmar","1"
"Reddy,JannampalliShruthi","1"
"Palani,Namasivayam","1"
"Prakash,SuryaR.","1"
"Achar,BalachandraHV","1"
"Sengupta,Sudeshna","1"
"Thangavel,Vaijayanthi","1"
"Doble,Mukesh","1"
"Krishnan,Saravanan","1"
"Balasubramanian,KalpattuKuppusamyB","1"
"Rajagopalan,Ashwini","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
