Scopus - Analyze author output

"Author name:","Chandra, Tilak S."
"Scopus author ID:","7007125278"

"Co-authors:","99"

"Co-author","Co-authored documents"

"Brown,KennethL.","9"
"Avasthi,Kamlakar","7"
"Antony,Usha","7"
"Rawat,DiwanSingh","6"
"Broderick,JoanB.","5"
"Agarwal,Anshika","4"
"Sripriya,G.","4"
"Raheja,Anant","4"
"Hegde,PrashantS.","4"
"Zaleski,JeffreyM.","4"
"Natarajan,TirupatturSrinivasan","4"
"Broderick,WilliamE.","4"
"Murty,MangenaVS","4"
"Maulik,PrakasRanjan","4"
"Soundar,S.","3"
"Pujari,Venugopal","3"
"Sen,Biswarup","3"
"Kavitha,SavaridassonJose","3"
"Akila,Gopalakrishnan","3"
"Sengupta,Sudeshna","3"
"Bhakuni,DSS.","3"
"Zou,Xiang","3"
"ChandraRaj,K.","2"
"Silver,SunshineC.","2"
"Sarkhel,Sanjay","2"
"Ramaprabhu,Sundara","2"
"Biswas,Gautam","2"
"Mishra,AshokKumar","2"
"Huffman,JohnCurtis","2"
"Vijayalakshmi,Sivagurunathan","2"
"Zebrowski,JeffreyP.","2"
"Valente,EdwardJ.","2"
"Bhakuni,DiwanS.","2"
"Murty,VsSN","2"
"Rajasekaran,NamakkalSoorappan","2"
"Zou,Shawn","2"
"Pichumani,Kumar","2"
"Sharma,Tushar","2"
"Kraft,BrianJ.","2"
"Zilinskas,Egidijus","2"
"Reddy,AravaLeelaMohana","2"
"Horitani,Masaki","1"
"Bhutani,KamleshKumar","1"
"Khare,Pragyanshu","1"
"Muthuvijayan,Vignesh","1"
"Jagtap,SnehaC.","1"
"Godon,JeanJacques","1"
"Kondepudi,KanthiKiran","1"
"Biswas,Sampa","1"
"Boparai,RavneetK.","1"
"Pramanik,Amitava","1"
"Poosarla,VenkataGiridhar","1"
"Kumar,VikasTFidal","1"
"Hamelin,JérômeÔme","1"
"Hoffman,BrianM.","1"
"Bishnoi,Mahendra","1"
"Shuvasree,R.","1"
"Baboota,RiteshK.","1"
"Pooja,KotianP.","1"
"Jayakumar,Renganathan","1"
"Kaufmann,AndreasM.","1"
"Sarma,SiddharthaM.","1"
"Shepard,EricM.","1"
"Keshavarz,Taj","1"
"Mani,Priyadharshini","1"
"Jacobson,RobertA.","1"
"Anitha,B.","1"
"Shisler,KristaA.","1"
"Ghose,Shourjo","1"
"Berreau,LisaM.","1"
"Sudha,Arun","1"
"Logsdon,BradC.","1"
"Nithya,Mariappan","1"
"Venkatakrishnan,C.D.","1"
"Pitam,Subha","1"
"UmaMaheswari,M.","1"
"Alagesan,Subramanian","1"
"Sharon,Ashoke","1"
"Chandrasekharan,K.","1"
"Lakshmi,B.R.","1"
"Moses,L.George","1"
"Seshadri,Sundaram","1"
"Podili,Koteswaraiah","1"
"Pink,Maren","1"
"KanthiKiran,Kondepudi","1"
"Steger,Kristin","1"
"Garg,Neeraj","1"
"Rose,Chellan","1"
"Allred,RussellA.","1"
"Murtaza,Nida","1"
"Singh,DhirendraPratapRatap","1"
"Sankar,MohanUdhaya","1"
"Chandrakasan,Gowri","1"
"Kiran,KondepudiKanthi","1"
"Byer,AmandaS.","1"
"Giridhar,PoosarlaV.","1"
"Bru-Adan,Valérie","1"
"Karthika,T.N.","1"
"Kyazze,Godfrey","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
