Scopus - Analyze author output

"Author name:","Jayaraman, Guhan"
"Scopus author ID:","7004518783"

"Co-authors:","50"

"Co-author","Co-authored documents"

"Ramachandran,KadathurB.","8"
"Cramer,StevenM.","7"
"Balagurunathan,Balaji","5"
"Prasad,ShashiBalaAla","4"
"Rinas,Ursula","3"
"Sriraman,Kalpana","3"
"Ramalingam,Subramanian","3"
"Moore,JamesAY","2"
"Li,Yufei","2"
"Gadam,ShishirD.","2"
"Hmar,RothangmawiVictoriaIctoria","2"
"Palani,Sivakumar","2"
"Vaidyanathan,Hema","2"
"Gueorguieva,Ludmila","2"
"Kandasamy,Vijayalakshmi","2"
"Seidel-Morgenstern,AndreasA.","2"
"Badle,SnehSanjayAnjay","2"
"Mukherjee,KrishnaJyoti","1"
"Thillai,Karthikeyan","1"
"Sreeja,S.","1"
"Jain,Garima","1"
"Phillips,MichaelW.","1"
"Ramchandra,NarkhedeSachin","1"
"Gopi,GopalRamakrishnan","1"
"Hitzmann,Bernd","1"
"Velu,Mahalingam","1"
"Guru,BharathRaja","1"
"Kundu,Amitava","1"
"Narasimhan,ShankarS.","1"
"Djurdjevic,Ivana","1"
"Vellanki,Padmaja","1"
"Liu,Jingsong","1"
"Gautam,PennathurC.","1"
"Baikadi,AbhishekK.","1"
"Marison,IanWilliam","1"
"Jayamani,Elamparithi","1"
"Raman,K.","1"
"Vunnum,Suresh","1"
"Puvendran,Kirubhakaran","1"
"Badri,A.","1"
"Kökpinar,Öznur","1"
"Subramanian,Guhan","1"
"Kundu,Amitav","1"
"Kaur,Mandeep","1"
"Buckel,Wolfgang","1"
"Rajendran,Vivek","1"
"Kaur,MandeepS.","1"
"Bera,Sujoy","1"
"Chauhan,AshishSingh","1"
"Jayaraman,Kunthala","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
