Scopus - Analyze author output

"Author name:","Kesavan, Venkitasamy"
"Scopus author ID:","6701502101"

"Co-authors:","59"

"Co-author","Co-authored documents"

"Prakash,MuthurajG.","9"
"Chandrasekaran,SrinivasanSelva","7"
"Vinayagam,Poopathy","6"
"Vishwanath,Manjunatha","6"
"Balaraman,KaluvuS.","6"
"Bonnet-Delpon,DanièleG.","5"
"Kumarswamyreddy,Nandarapu","5"
"Jayakumar,Samydurai","5"
"Bégué,JeanPierre","5"
"Vasanthan,Ravichandran","4"
"Muthusamy,Subramaniam","4"
"Gedanken,Aharon","3"
"Kumar,Vipin","3"
"Koltypin,Yuri","3"
"Perkas,Nina","2"
"Crousse,Benoît","2"
"PratapReddyGajulapalli,V.","2"
"Dhar,Dwairath","2"
"Palchik,Oleg","2"
"Pradeepkumar,PushpangadanI.","1"
"MichaelGromiha,M.","1"
"Lavine,Gary","1"
"Limmer,Stefan","1"
"Röhl,Ingo","1"
"Hadwiger,Philipp","1"
"Harborth,Jens","1"
"Vornlocher,HansPeter","1"
"Constien,Rainer","1"
"Das,UdayanN.","1"
"Tamilarasu,Natarajan","1"
"Cao,Hong","1"
"Gothelf,KurtVesterager","1"
"Srikanth,Abirami","1"
"John,MatthiasJohannes","1"
"Ramakrishnan,Chandrasekaran","1"
"Gelck,Anke","1"
"Gajulapalli,V.PratapReddy","1"
"Gore,KiranR.","1"
"Rajeev,KallanthottathilG.","1"
"Sivanand,PennadamS.","1"
"Pandey,RajendraK.","1"
"Bramlage,Birgit","1"
"ReddyGajulapalli,V.Pratap","1"
"Charissé,Klaus","1"
"Ravikumar,KabayadiS.","1"
"Wuschko,Silvio","1"
"Lokesh,Kanduru","1"
"Rana,TariqM.","1"
"Akinc,Akin","1"
"Racie,TimothyS.","1"
"Bumcrot,DavidA.","1"
"Manoharan,Muthiah","1"
"Soutschek,Jürgen","1"
"Sivamuthuraman,Koilpitchai","1"
"Elbashir,SaydaM.","1"
"Donoghue,Mary","1"
"Wang,Gang","1"
"Kotellansky,Victor","1"
"Toudjarska,Ivanka","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
