Scopus - Analyze author output

"Author name:","Krishnan, Chandraraj Raj"
"Scopus author ID:","23091275900"

"Co-authors:","42"

"Co-author","Co-authored documents"

"Dale,BruceE.","6"
"Balan,Venkatesh","6"
"Rajagopalan,Gobinath","6"
"Gunasekaran,Paramasamy","5"
"Elangovan,Rajasekar","4"
"Chundawat,ShishirP.S.","4"
"DaCostaSousa,Leonardo","3"
"Gummadi,SathyanarayanaNaidu","3"
"Philip,LigyK.","3"
"Reddy,ShyamSunder","3"
"Nagarajan,DilliRani","2"
"Thelen,KurtD.","2"
"Gokulakrishnan,S.","2"
"Sarangi,Abhipsa","2"
"Senthilkumar,SundarRajan","2"
"Shao,Qianjun","2"
"Bals,BryanD.","2"
"Rajendŕan,AyyappanR.","2"
"Anthony,Thangamani","2"
"Gao,Dahai","2"
"Stege,JustinT.","1"
"Chang,Linpei","1"
"Jin,Mingjie","1"
"Rohit,B.","1"
"Poland,John","1"
"Talarico,LeeA.","1"
"Swain,ManasR.","1"
"Sudhindra,C.V.","1"
"Sangiliyandi,Gurunathan","1"
"Yuan,Yingjin","1"
"Lipton,MaryS.","1"
"Maupin-Furlow,JulieA.","1"
"Ingram,LonnieONeal","1"
"Dempsey,M.J.","1"
"Pradeep,SrivastavaR.","1"
"Lau,Mingwoei","1"
"Agrawal,ManojKunjabihari","1"
"Abhipsa,S.","1"
"Ashokkumar,Balasubramaniem","1"
"Ligy,P.","1"
"Vinod,Y.S.","1"
"Zhong,Cheng","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
