Scopus - Analyze author output

"Author name:","Muthuvijayan, Vignesh"
"Scopus author ID:","8599201000"

"Co-authors:","17"

"Co-author","Co-authored documents"

"Thampi,Sudhin","2"
"Thangavel,Ponrasu","2"
"Ramachandran,Balaji","2"
"Marten,MarkR.","2"
"Parameswaran,Ramesh","2"
"Lewis,RandyS.","2"
"Kannan,Ramya","2"
"Agarwal,Anshika","1"
"Gu,Jun","1"
"Raheja,Anant","1"
"Raman,Babu","1"
"Natarajan,TirupatturSrinivasan","1"
"Vishal,Pagidipally","1"
"Chandra,TilakS.","1"
"Suguna,Lonchin","1"
"Ponrasu,Thangavel","1"
"Nandakumar,MadayiP.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
