Scopus - Analyze author output

"Author name:","Priya, Madhu Hamsa"
"Scopus author ID:","8616018900"

"Co-authors:","12"

"Co-author","Co-authored documents"

"Madras,Giridhar","6"
"Paulaitis,MichaelE.","3"
"Das,ShankarPrasad","2"
"Voigtmann,ThH.","1"
"Bidhoodi,Neeta","1"
"Asthagiri,D.","1"
"Ashbaugh,HenryS.","1"
"Sivalingam,G.","1"
"Pratt,LawrenceR.","1"
"GuruRow,T.N.","1"
"Merchant,SafirKE","1"
"Muktha,B.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
