Scopus - Analyze author output

"Author name:","Raman, Karthik"
"Scopus author ID:","21743559700"

"Co-authors:","18"

"Co-author","Co-authored documents"

"Chandra,NagasumaR.","9"
"Rajagopalan,Preethi","3"
"Wagner,Andreas","2"
"Joshi,GovindKrishna","1"
"Damaraju,Nandita","1"
"Ravikrishnan,Aarthi","1"
"Verkhedkar,KetkiD.","1"
"Bhat,AshwiniGurudas","1"
"Balachandran,Shankar","1"
"Pratapa,Aditya","1"
"Ananthanarayan,LaxmiA.","1"
"Chandra,Nagasimia","1"
"Partha,Raghavendran","1"
"Kulkarni,AnujaL.","1"
"Chandra,NagasumaR.","1"
"Vishveshwara,Saraswathi","1"
"Yeturu,Kalidas","1"
"Vashisht,RohitP.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
