Scopus - Analyze author output

"Author name:","Rayala, Suresh Kumar"
"Scopus author ID:","8390822300"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Kumar,Rakesh","44"
"Balasenthil,Seetharaman","14"
"Ohshiro,Kazufumi","13"
"Venkatraman,G.","11"
"Pakala,SureshBabuAbu","11"
"Reddy,SirigiriDivijendraNatha","8"
"Vadlamudi,RatnaK.","8"
"Gururaj,AnupamaE.","7"
"DenHollander,PetraDenC","7"
"Molli,PoonamR.","7"
"Talukder,AmjadH.","6"
"Jagadeeshan,Sankar","6"
"El-Naggar,AdelElH","5"
"Landberg*,GöranP.","5"
"Manavathi,Bramanandam","5"
"Barnes,ChristopherJ.","5"
"Sahin,AysegulA.","4"
"Wang,Ruian","4"
"Holm,Caroline","4"
"Subramanian,Anirudh","4"
"Baskar,Ganga","4"
"Mavuluri,Jayadev","4"
"Surabhi,RohanPrasad","4"
"Nair,AshaSivakumari","4"
"Singh,RajeshRajesh","4"
"Chen,Mingzhi","3"
"Ma,Jianpeng","3"
"Peng,Shaohua","3"
"Pitani,RavishankarShankar","3"
"Tentu,Shilpa","3"
"Bui-Nguyen,TriMinh","3"
"Singhal,Manmohan","3"
"Yang,Zhibo","3"
"Li,DaQiang","3"
"Ravi,Mathangi","3"
"Krishnamoorthy,YoganathanRamia","3"
"Meng,Qingchang","2"
"Zhang,Hao","2"
"Song,Chunying","2"
"O'Malley,BertW.","2"
"Roshini,A.","2"
"Li,Feng","2"
"Behringer,RichardR.","2"
"Lakshmi,A.Jaya","2"
"Martin,Emil","2"
"Bhoopalan,Hemadev","2"
"Zhang,Yanping","2"
"Kesavan,Akila","2"
"Goodson,HollyV.","2"
"Murad,Ferid","2"
"Raghavan,Swetha","2"
"Marcus,Stevan","2"
"Ponraju,Durairaj","2"
"Joseph,LeenaDennis","2"
"Kaluarachchi,KumaralalK.","2"
"Sharina,IraidaG.","2"
"Mudvari,Prakriti","2"
"Krishnan,AnandR.","2"
"Kremerskothen,Joachim","2"
"Williams,MichelleD.","2"
"Biswal,Jayashree","2"
"Sundaram,Shivakumar","2"
"Sadasivan,K.","2"
"Jeyakanthan,Jeyaraman","2"
"Singhal,Mahak","2"
"Broaddus,RussellR.","2"
"Jacobson,RaymondH.","2"
"Chidambaram,SaravanaBabu","2"
"Kondo,Seiji","1"
"DOWSETT,MitchJ.","1"
"Raghunathan,Ragavachary","1"
"Stål,Olle","1"
"SwarnalathaBeesetti","1"
"Srinivas,Satish","1"
"Lee,Adrian","1"
"Kanumuri,R.","1"
"SuginLal,J.","1"
"Madanmohan,Shruthilaya","1"
"Kumar,Rajesh","1"
"Peng,Shaohua","1"
"Kumar,Praveen","1"
"ShankarPitani,R.","1"
"VeenaKumari,Vuttaradhi","1"
"Fuqua,SuzanneAwW","1"
"Zhang,Mingjie","1"
"Kumar,ArathyS.","1"
"Zhang,Hao","1"
"Sarathi,Ramanujam","1"
"Ramanathan,K.","1"
"Gallick,GaryE.","1"
"Wigerup,Caroline","1"
"Jeyaraman,Jeyakanthan","1"
"Ganesan,Kumaresan","1"
"Acconcia,Filippo","1"
"Pillai,MadhavanRadhakrishna","1"
"Kumar,RakeshAJ","1"
"Dhamodharan,Prabhu","1"
"Beesetti,S.","1"
"Barnekow,Angelika","1"
"RohanPrasad,Surabi","1"
"Ranganathan,Ramya","1"
"Wang,Xiaoping","1"
"Li,Daqiang","1"
"Mandal,Mahitosh","1"
"Kandaswamy,Deivanayagam","1"
"Kobori,Nobuhide","1"
"Beaula,WinfredSofi","1"
"Yun,Sung","1"
"Agarwal,Neeraj","1"
"Ilaiyaraja,P.","1"
"Wen,Yu","1"
"Santosham,Roy","1"
"Lee,Monghong","1"
"Li,Daqiang","1"
"Srinivasan,Sanjeev","1"
"Chopra,C.","1"
"Natha,ReddySDivijendra","1"
"Lippman,ScottM.","1"
"Tharakan,Robbin","1"
"Chen,Shiuan","1"
"Abhijit,S.","1"
"Sekar,Sathiya","1"
"Malathi,Raghunathan","1"
"Weber,RandalS.","1"
"Pires,RicardoC.","1"
"Aldaz,ClaudioMarcelo","1"
"Zheng,Yi","1"
"Gowri,Meiyazhagan","1"
"Månsson,SofieSvensson","1"
"Muthuswamy,B.","1"
"Jayaprakash,Prajisha","1"
"Frishman,LauraJ.","1"
"Coverley,Dawn","1"
"Wang,Xiaoping","1"
"RohanPrasad,Surabhi","1"
"Sundararajan,RajiD.","1"
"Saiharish,Raghavan","1"
"Casimiro,Sandra","1"
"Kumar,Anish","1"
"Johnson,FayeMarie","1"
"Anjana,GobiV.","1"
"Gaur,Amitabh","1"
"Wang,Minhua","1"
"Tan,PatrickBoonOoi","1"
"SofiBeaula,Winfred","1"
"Banerjee,Saikat","1"
"Gunasekaran,Paramasamy","1"
"Ramezani,Ali","1"
"Duvuru,Prathiba","1"
"Ramesh,Anita","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
