Scopus - Analyze author output

"Author name:","Senapati, Sanjib"
"Scopus author ID:","7003719679"

"Co-authors:","103"

"Co-author","Co-authored documents"

"Chandra,AmalenduK.","14"
"Berkowitz,MaxL.","6"
"Maji,SamirKumar","6"
"Chirasani,VenkatR.","6"
"Bera,AmalKanti","6"
"Allu,PrasannaKR","6"
"Mahapatra,NitishR.","6"
"Sahu,BhavaniS.","5"
"Mullasari,AjitS.","4"
"Ghoshdastidar,Debostuti","4"
"Sahu,Giriraj","4"
"Sonawane,ParshuramJ.","3"
"Mohan,Jagan","3"
"Sasi,BinuK.","3"
"Chandran,Aneesh","3"
"Natarajan,Kathiresan","3"
"Rath,SoumyaLipsa","3"
"Ghosh,Dibbendu","3"
"Subramanian,Lakshmi","3"
"Kundu,Kaushik","2"
"Kar,Barnali","2"
"McCammon,JamesAndrew","2"
"Obbineni,JaganMohan","2"
"Saha,Swapankumar","2"
"Paul,BidyutKumar","2"
"Gomathi,BalashankarS.","2"
"Bardhan,Soumik","2"
"Singh,PradeepKumar","2"
"Chakraborty,Gulmi","2"
"Prakash,Karthigeyan","2"
"Bruce,ChrystalD.","1"
"Appadurai,Rajeswari","1"
"Mohan,Viswanathan","1"
"Raghuraman,Hariharasundaram","1"
"Karthik,Suresh","1"
"Forbes,MalcolmDE","1"
"Wignall,GeorgeD.","1"
"Munirajan,ArasambattuKannan","1"
"Perozo,Eduardo","1"
"Kent,StephenB.H.","1"
"Kwok,Kayan","1"
"Durairajan,SivaSundaraKumarKumar","1"
"DeSimone,JosephMark","1"
"Ahmed,Tofayel","1"
"Song,Juxian","1"
"DominguezRieg,JessicaA.","1"
"Dixit,Madhulika","1"
"Chung,SookjaKim","1"
"NagaPrasad,SathyamanglaVnNaga","1"
"Han,Quanbin","1"
"Mahata,SushilK.","1"
"Yuen,Puiyee","1"
"Bodhini,Dhanasekaran","1"
"Anandaram,Harishchander","1"
"Sarkar,Debayan","1"
"Li,Min","1"
"AlexAnand,D.","1"
"Kiranmayi,Malapaka","1"
"Singh,AkhilPratapRatap","1"
"Bui,JenniferM.","1"
"Singh,GurpreetP.","1"
"Tewari,Debanjan","1"
"AndrewMcCammon,J.","1"
"Chaitanya,V.SV","1"
"Mandal,KalyaneswarC.","1"
"Koepsell,Hermann","1"
"Prasad,BhaskarjyotiRam","1"
"Bose,Kakoli","1"
"Mitra,RajibKumar","1"
"Mani,Anitha","1"
"Radha,Venkatesan","1"
"Torbeev,VladimirYu","1"
"Sharma,Saurabh","1"
"Sankar,Revathi","1"
"Chen,Leilei","1"
"Wong,Chung","1"
"Singh,NituP.","1"
"Baum,LarryWilliam","1"
"Melnichenko,YuriB.","1"
"Perera,LalithE.","1"
"Das,DipakKumar","1"
"Singh,PradeepKumar","1"
"Sudha,D.","1"
"Vishnuprabu,Durairajpandian","1"
"Martelli,ElizabethE.","1"
"Liu,Liangfeng","1"
"Huang,Yingyu","1"
"Xue,Lei","1"
"Kumaragurubaran,Rathnakumar","1"
"Khullar,Madhu","1"
"Revanasiddappa,PrasannaD.","1"
"Singh,PradeepK.","1"
"Cheng,Yuhui","1"
"Dastidar,DebostutiGhosh","1"
"Huang,Jiandong","1"
"Rieg,Timo","1"
"Singh,PradeepK.","1"
"Gardas,RameshL.","1"
"Ghosh,Dhiman","1"
"Frielinghaus,HenrichH.","1"
"Das,Arindam","1"
"Keiper,JasonS.","1"
"Das,Sajal","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
