Scopus - Analyze author output

"Author name:","Sinha, Himanshu"
"Scopus author ID:","7006712180"

"Co-authors:","48"

"Co-author","Co-authored documents"

"Steinmetz,LarsM.","8"
"Radhakrishnan,Aparna","5"
"McCusker,JohnH.","5"
"Yadav,Anupama","4"
"Gagneur,Julien","4"
"Bhanot,GyanV.","4"
"Raharja-Liu,Pandu","2"
"Bhatia,Aatish","2"
"Nicholson,BradlyP.","2"
"Davis,RonaldW.","2"
"Gupta,SaumyaShree","2"
"Lin,Gen","2"
"Tomar,Parul","2"
"Ramdas,Shweta","1"
"Siegal,MarkL.","1"
"Singh,Amartya","1"
"Bourgon,Richard","1"
"Johnstone,KeithI.","1"
"Pain,Arnab","1"
"Richards,DanielR.","1"
"Levy,SashaF.","1"
"Nitin,Rachana","1"
"Shi,Getao","1"
"Ito-Harashima,Sayoko","1"
"Pascon,RenataCastiglioni","1"
"Perocchi,Fabiana","1"
"Singh,Rohini","1"
"Oefner,PeterJ.","1"
"Clauder-Münster,Sandra","1"
"Panda,Anshuman","1"
"Spiegelman,JamieI.","1"
"Shah,HiralB.","1"
"Dean,Jed","1"
"Krishnakumar,Sujatha","1"
"Huber,WolfgangK.","1"
"David,Lior","1"
"Singh,Gurjeet","1"
"Chavan,ArunM.","1"
"Dhole,Kaustubh","1"
"Fraser,HunterB.","1"
"Zhu,Chenchen","1"
"Hartzog,PhillipE.","1"
"Oefner,PeterJ.","1"
"Ashby,AlisonM.","1"
"Diao,Liyang","1"
"Pérez,J.Christian","1"
"Zhou,Yiqi","1"
"Nguyen,Michelle","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
