Scopus - Analyze author output

"Author name:","Subramaniam, Kuppuswamy"
"Scopus author ID:","7005184205"

"Co-authors:","42"

"Co-author","Co-authored documents"

"Seydoux,Geraldine","4"
"Chaturbedi,Amaresh","3"
"Ueng,PeterP.","3"
"Pushpa,Kumari","2"
"Mainpal,Rana","2"
"Priti,Agarwal","2"
"Mahadevan,Subramony","2"
"Verma,SandeepKumar","2"
"Kumar,GangaAnil","2"
"Ariz,Mohd","2"
"Chandrasekhar,Vadapalli","1"
"Solomos,Theophanes","1"
"Gheysen,GodelieveDR","1"
"Yadav,BindhyaChal","1"
"Cheung,A.M.","1"
"Abbo,ShahalM.","1"
"Sinha,AchyutM.","1"
"Dunn,MelanieA.","1"
"Chen,Peilung","1"
"Jadhav,Shreyas","1"
"Arseniuk,Edward","1"
"Gopal,KandasamyVenu","1"
"Kumar,JitendraVinoth","1"
"Buechley,George","1"
"Hoffmann,GuidoM.","1"
"Tenenhaus,Christina","1"
"Vaid,Samir","1"
"Merritt,Christopher","1"
"Maheshwari,Richa","1"
"Rana,Mainpal","1"
"Shaner,GregoryE.","1"
"Bergstrom,GaryC.","1"
"Wang,Lixin","1"
"Chen,Weidong","1"
"D'Agostino,IngridB.","1"
"Barman,ApurbaKr","1"
"Joseph,Soumi","1"
"Ye,Z.","1"
"Veluthambi,Karuppannan","1"
"Ranie,Jamuna","1"
"Srinivasa,BachallyR.","1"
"Kundu,Subrata","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
