Scopus - Analyze author output

"Author name:","Suraishkumar, Gadi K."
"Scopus author ID:","6602321100"

"Co-authors:","42"

"Co-author","Co-authored documents"

"Noronha,SantoshB.","5"
"Sivakumar,SrinivasanM.","4"
"Mukhopadhyay,Mausumi","4"
"Sahoo,Susmita","4"
"Anup,S.","4"
"Rao,Kesturkrishnamurthy","3"
"Suresh,AkkihebbalKrishnamurthy","3"
"Balan,RanjiniK.","3"
"Gudi,RavindraD.","2"
"Sarkar,Pritish","2"
"Menon,KavyaR.","2"
"Tiwari,SanjayK.","2"
"Chandavarkar,Arun","2"
"Jose,Steffi","2"
"KrishnamurthyRao,K.","1"
"Moise,Sandhya","1"
"Chaudhury,Pallavi","1"
"Verma,RajeshK.","1"
"Sen,Tusharkanti","1"
"Chandrasekaran,Natarajan","1"
"Chaudhuri,Gouri","1"
"Bellare,JayeshRamesh","1"
"Kapadi,MangeshD.","1"
"Ghosh,KaushikP.","1"
"Mathur,Ankita","1"
"Mishra,SurabhiKirti","1"
"Khilar,KarticChandra","1"
"Bera,AmalKanti","1"
"Mohan,Harit","1"
"Rao,Y.Manjula","1"
"Raghavan,Archanaa","1"
"Manoharan,PeriakaruppanThangiah","1"
"Kumari,JyotiMKW","1"
"Mandal,Chaitali","1"
"Mukherjee,Amitava","1"
"Roy,Rajdeep","1"
"Johnson,JamesBrian","1"
"Maheswari,KrishnanUma","1"
"Archanaa,S.","1"
"Das,Dipankar","1"
"Chaitali,Mandai","1"
"Ganesh,AparnaB.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
