Scopus - Analyze author output

"Author name:","Aghalayam, Preeti A."
"Scopus author ID:","6603558748"

"Co-authors:","72"

"Co-author","Co-authored documents"

"Mahajani,SanjayM.","26"
"Ganesh,AnuraddaSri","18"
"Vlachos,DionisiosG.","11"
"Daggupati,Sateesh","11"
"Sharma,RakeshKumar","11"
"Mandapati,RameshNaidu","11"
"Sapru,RajendarK.","10"
"Mantri,DineshB.","6"
"Khadse,AnilNivrutti","6"
"Sundmacher,Kai","5"
"Mhadeshwar,AshishB.","5"
"Pratheeba,ChandaNagarajan","5"
"Park,Young","4"
"Qi,Zhiwen","4"
"Samdani,Ganesh","3"
"Pal,AnangK.","3"
"Qayyumi,Mohammed","3"
"Ravat,VilasM.","3"
"Mehta,ViralS.","3"
"Papavassiliou,Vasilis","3"
"Kamath,RavindraS.","3"
"Sujith,RamanI.","2"
"Srinivas,Seethamraju","2"
"Malik,RanjanKumar","2"
"Kaisare,NiketS.","2"
"Talwalkar,Sandip","2"
"Achreja,Abhinav","2"
"Vishnu,R.","2"
"Iyer,KannanN.","2"
"Kumar,AnuragKishore","2"
"Jayanti,Sreenivas","2"
"Lakshmanan,Niveda","2"
"Mathur,DeeptiK.","2"
"Bhaskaran,Sminu","2"
"Ivanova,MariyanaI.","2"
"Mahamulkar,ShilpaS.","2"
"Lohar,BabuLal","2"
"Srinivasan,BalajiVasan","1"
"Kumar,Nirup","1"
"Narseh,D.","1"
"Kumar,Nivedita","1"
"Raghavendran,J.","1"
"Kauchali,Shuaib","1"
"Thimmineni,Ravikeerthi","1"
"Selvam,ParasuramanPanneer","1"
"Chauhan,Mehul","1"
"Katariya,AmitM.","1"
"Sateesh,D.","1"
"Papvassiliou,V.","1"
"Naidu,V.Satyam","1"
"Harish,AcharV.","1"
"Santhosham,Aruna","1"
"Ghoroi,Chinmay","1"
"Singh,RakhiP.","1"
"Ravikeerthi,T.","1"
"Prabhudharwdkar,Deoras","1"
"Raimondeau,S.","1"
"Prabhudharwadkar,DeorasM.","1"
"Moudgalya,KannanK.","1"
"Baretto,Jeevail","1"
"Tyagi,SachinB.","1"
"Jain,P.K.","1"
"Suresh,AkkihebbalKrishnamurthy","1"
"Prasad,VishnuS.","1"
"Mankar,Surendra","1"
"Nagarajan,PratheebaChanda","1"
"Boppana,SudheerKumar","1"
"Bui,PierreAndré","1"
"Fernandes,NeilE.","1"
"Paranjpe,Rucha","1"
"Thyagarajan,Raghuram","1"
"SatyamNaidu,V.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
