Scopus - Analyze author output

"Author name:","Balakrishnan, Arcot R."
"Scopus author ID:","7102077806"

"Co-authors:","52"

"Co-author","Co-authored documents"

"Edwards,DonaldK.","13"
"Basak,Tanmay","10"
"Das,SaritK.","9"
"Pei,DavidCT","7"
"Jayanti,Sreenivas","7"
"Sadasivam,M.","7"
"Dhanalakshmi,J.","6"
"Venkatesan,Muniyandi","6"
"Sai,P.ST","5"
"Benjamin,R.J.","4"
"Roy,SatyajitJ.","4"
"Park,Chul","4"
"Aparna,K.","3"
"Radhakrishnan,KannanB.","3"
"Kaluri,RamSatish","3"
"Davy,WilliamC.","3"
"Green,MichaelJ.","3"
"MadhusudanaRao,S.","3"
"Nelson,J.EB","3"
"SrinivasaMurthy,S.","3"
"Vijayan,M.","3"
"Aravinthan,Manoharan","3"
"Salim,MushtaqA.","2"
"Sindhuja,R.","2"
"Pendyala,Rajashekhar","2"
"Yang,Ray","2"
"Mandal,Sujan","2"
"Sateesh,G.","2"
"Winovich,Warren","2"
"Rao,G.Vinayak","2"
"Varma,Y.BG","2"
"Meenakshi,A.","2"
"Murthy,SrinivasaSrinivasaN","2"
"Vijayarangan,B.R.","2"
"Sivagnanam,P.","2"
"Balboni,JohnA.","2"
"Singh,AparnaKumar","1"
"KrishnaBabu,S.","1"
"Adhavan,J.","1"
"Hari,C.","1"
"Rao,MadhusudanaMadhusudana","1"
"Swaminathan,Rama","1"
"Babikian,DikranS.","1"
"Seshadri,Arunkumar","1"
"Bhavsar,V.C.","1"
"Lombard,CharlesK.","1"
"Sai,P.ST","1"
"Catton,Ivan","1"
"Swenson,ByronL.","1"
"Balaraman,KaluvuS.","1"
"Arnold,JamesO.","1"
"Aravind,G.S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
