Scopus - Analyze author output

"Author name:","Basavaraj, Madivala G."
"Scopus author ID:","55203231500"

"Co-authors:","75"

"Co-author","Co-authored documents"

"Mani,Ethayaraja","8"
"Dugyala,VenkateshwarRao","7"
"Nallamilli,Trivikram","3"
"Wagner,NormanJ.","3"
"Sabapathy,Manigandan","3"
"Chowdhury,PriyadarshiRoy","2"
"Kumaraswamy,Guruswamy","2"
"ChristdossPushpam,SamDavid","2"
"John,NeenaS.","2"
"Derita,Leo","2"
"Fransaer,JanL.","2"
"Prasad,B.LV","2"
"Gonzalez-Garcia,Lola","2"
"Gang,Oleg","2"
"Som,Madhura","2"
"Bandyopadhyaya,Rajdip","2"
"Tripathy,Mukta","2"
"Eiser,Erika","2"
"López-Barrón,CarlosR.","2"
"Punnathanam,SudeepN.","2"
"Daware,SantoshVasant","2"
"Tao,Andrea","2"
"Bachhar,Nirmalya","2"
"Chakravarty,Charusita","2"
"Karim,Alamgir","2"
"Poojari,Radhika","2"
"Kotov,NicholasAlexander","2"
"Kumar,Sanat","2"
"Manoharan,VinothanN.","2"
"Ju-Nam,Yon","2"
"Kulkarni,Siddharth","2"
"Anjali,ThiriveniG.","2"
"Frenkel,Daan","2"
"Vermant,Jan","2"
"Sridurai,Vimala","2"
"Edwards,Alison","2"
"Srivastav,Ajeet","2"
"Bandyopadhyay,Ranjini","2"
"Li,Dongcui","1"
"Medhi,Himani","1"
"Muthukuru,JyothiSri","1"
"Shahin,A.","1"
"Misra,Mayank","1"
"Granick,Steve","1"
"Singh,Jayant","1"
"Shelke,Yogesh","1"
"Walker,Lynn","1"
"PavanKumar,G.V.","1"
"Erapalapati,Venkataramana","1"
"Bockstaller,MichaelR.","1"
"Rajeev,Ashna","1"
"Lynch,MatthewL.","1"
"Shrivastav,Gourav","1"
"Binks,BernardPaul","1"
"Satapathy,DillipK.","1"
"Madhavan,Nandita","1"
"Fuller,Gerry","1"
"Seth,Jyoti","1"
"Shinde,Vandana","1"
"McFarlane,NaaLarteokor","1"
"Ragothaman,Srikanth","1"
"Kumar,G.VPavan","1"
"Jestin,Jacques","1"
"Upendar,Siliveru","1"
"Kollabattula,Viswas","1"
"Lama,Hisay","1"
"Ramamirtham,Sashikumar","1"
"Majumdar,Sristi","1"
"Stappers,Linda","1"
"Tagliazucchi,Mario","1"
"Joshi,YogeshM.","1"
"Singh,AmitKumar","1"
"Shireen,Zakiya","1"
"Deshpande,AbhijitP.","1"
"Chervinskii,S.D.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
