Scopus - Analyze author output

"Author name:","Chidambaram, Manickam"
"Scopus author ID:","7005494746"

"Co-authors:","129"

"Co-author","Co-authored documents"

"Madhavan,KpP.","10"
"Rao,Ambatiseshagiri","10"
"Rao,Venkat","8"
"Shankar,HariharanSubbaraman","8"
"Reddy,GinugaPrabhaker","8"
"Sivakumar,SrinivasanM.","7"
"PadmaSree,R.","7"
"Vivek,SatheSree","6"
"DhanyaRam,V.","5"
"Govindarao,VennetiMH","5"
"Nikita,Saxena","5"
"SeshagiriRao,A.","5"
"Malleswararao,Y.SN","4"
"Sree,RaviPadma","4"
"Rajapandiyan,C.","4"
"Santosh,Simi","4"
"Bhat,Jaydeva","4"
"Uma,SrinivasanV.","4"
"Shanmugam,Jayamsakthi","3"
"Bharathi,N.","3"
"Jayasingh,T.","3"
"Bhat,Jayadeva","3"
"SankarRao,C.","3"
"Panda,TapobrataK.","3"
"Radhakrishnan,ThotaK.","3"
"Srinivas,MekapatiN.","3"
"Besta,ChandraShekar","3"
"Umamaheswari,S.","3"
"Anandanatarajan,R.","3"
"VenkataDasu,Veeranki","3"
"Palanisamy,VeerappaGounder","3"
"Nyttle,V.G.","2"
"Sivakumar,E.","2"
"Kumar,GirishPavan","2"
"Jacob,E.F.","2"
"Swaminathan,TyagarajanR.","2"
"Srinivasan,K.","2"
"Recke,BodilO.","2"
"Mahesh,M.Muniram","2"
"Reddy,BathalaChandrasekhara","2"
"Jyothi,S.N.","2"
"Jørgensen,JohnBagterp","2"
"Sathe,VivekS.","2"
"Al-Gobaisi,DarwishMK","2"
"Balachandran,R.","2"
"ThangaMani,N.","2"
"Ram,V.Dhanya","2"
"Ganesh,P.K.","2"
"Rene,EldonRaj","2"
"Srinivas,N.S.","2"
"Rangaswamy,T.R.","2"
"Pickhardt,Rainer","2"
"Rao,YalamanchiliSrinivasaNM","2"
"Uma,GovindarajanV.","2"
"Prasath,Guru","2"
"Hazarika,Sukanya","2"
"Gopalan,MuhundanN.","2"
"Ramakrishnan,Vidya","1"
"Valentine,ChristopherClement","1"
"Tangirala,ArunKumar","1"
"Ramkumar,KrishnanB.","1"
"Satish,G.","1"
"Sastry,I.VKSubrahmanya","1"
"Sarma,KalyanLN","1"
"Arulselvi,S.","1"
"Yoo,Changkyoo","1"
"Kumar,DhirajSatishSSN","1"
"Das,Ashutosh","1"
"Rao,C.Sankar","1"
"SrinivasaPrabhu,E.","1"
"Kavdia,Mahendra","1"
"Attarwala,Anees","1"
"Shertukde,PrasadV.","1"
"Naidu,LekkalaDevEv","1"
"Prashanti,G.","1"
"Sadasivarao,M.V.","1"
"Sundaram,ShumughaP.","1"
"Xu,Xiaoming","1"
"Yugender,Ch","1"
"Arulselvi,S.","1"
"Kumar,AshwaniArvind","1"
"Dombe,G.S.","1"
"Srividya,R.","1"
"Krishnan,J.","1"
"Saravanan,Settu","1"
"Rajakumar,A.","1"
"Yethiraj,Arun","1"
"Pramod,S.","1"
"Goel,MukeshK.","1"
"Reddy,P.DineshSankar","1"
"SubrahmanyaSastry,I.VK","1"
"Suresh,Raju","1"
"Shaji,ChithraB.","1"
"Prashant,C.","1"
"Joshi,JyeshtharajBhalchandra","1"
"Satishkumar,B.","1"
"Venkatashankar,V.","1"
"Kavitha,S.","1"
"Babu,JagadeeshSaratChandra","1"
"Jayadeva,B.","1"
"Musmade,Lalit","1"
"Abbas,Abderrahim","1"
"Karpe,P.A.","1"
"Roopsingh,G.","1"
"Murthy,DodlatyVS","1"
"Ananth,I.","1"
"Sivaramakrishnan,S.","1"
"MalleswarRao,Y.SN","1"
"Zhang,Weidong","1"
"Sen,Deepthi","1"
"Anand,SnehPrem","1"
"Seethaladevi,S.","1"
"GhousiyaBegum,K.","1"
"Jhunjhunwala,M.K.","1"
"Kumar,C.Ramesh","1"
"Malkapure,HanmantG.","1"
"Pandit,Madhukar","1"
"Muralikrishnan,G.","1"
"VarunChowdary,N.","1"
"Subramaniam,Murugan","1"
"Midha,V.","1"
"Khadke,H.Y.","1"
"VijayKumar,V.","1"
"Hrishikesh,M.B.","1"
"Raihan,Dilshad","1"
"Swati,D.","1"
"Kumar,VivekVijay","1"
"Joshi,PushkarajA.","1"
"Karlmarx,A.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
