Scopus - Analyze author output

"Author name:","Jayanti, Sreenivas"
"Scopus author ID:","7004754910"

"Co-authors:","92"

"Co-author","Co-authored documents"

"Hewitt,GeoffreyF.","17"
"Maharudrayya,S.","8"
"Deshpande,AbhijitP.","7"
"Balakrishnan,ArcotR.","7"
"Subramani,Ayyappan","7"
"Prabu,Vairakannu","6"
"Seepana,Sivaji","6"
"Ellamla,HarikishanR.","4"
"Janardhanan,VinodM.","4"
"Appari,Srinivas","4"
"Suresh,PalaleV.","4"
"Nagarajan,Ramamurthy","3"
"Ambedkar,BalrajR.","3"
"Narayanan,SrihariShankaraYegna","3"
"Srinivasan,KarthikK.","3"
"Avvari,Ramesh","3"
"Deutschmann,Olaf","3"
"Vijayan,M.","3"
"Saravanan,V.","2"
"Seetharamu,Subramanyam","2"
"Bauri,Ranjit","2"
"Monder,DayadeepS.","2"
"Berthoud,GeorgesJ.","2"
"Ramakrishna","2"
"Kareemulla,D.","2"
"ShyamPrasad,K.B.","2"
"Basavaraja,R.J.","2"
"Eswaraiah,Chinthapudi","2"
"Pendyala,Rajashekhar","2"
"Aghalayam,PreetiA.","2"
"Kota,SampathBharadwaj","2"
"Vijayarangan,B.R.","2"
"Valette,Michel","2"
"Wolf,Aurel","2"
"Balamurugan,V.","2"
"JyothiLatha,T.","2"
"vanDeusen,David","1"
"Prasad,K.BS","1"
"Basavaraj,R.J.","1"
"Reddy,C.Nowneswara","1"
"Perumal,SuyambuVannia","1"
"Tokarz,Alexander","1"
"Swaminathan,TyagarajanR.","1"
"Anupriya,S.","1"
"Suresh,N.S.","1"
"Sivaji,S.","1"
"Fisher,S.A.","1"
"Shivakumar,R.","1"
"Maheswaran,K.RK","1"
"Suresh,PoojaV.","1"
"White,SylviaP.","1"
"Maier,Lubow","1"
"Yost,Nancy","1"
"Selvaraj,Ponnusamy","1"
"Jaggi,Vikas","1"
"Haridoss,Prathap","1"
"Kumar,SarangiUjwal","1"
"Naidu,V.Satyam","1"
"Wang,Chris","1"
"Pan,Lei","1"
"Shet,U.SPremananda","1"
"Srinivasa,T.","1"
"Kannan,AravamudanS.","1"
"Karunakumari,L.","1"
"Modi,P.P.","1"
"Aravind,Arun","1"
"Gowrisankar,S.","1"
"Hope,C.B.","1"
"Kightley,J.R.","1"
"Nagarajan,Krishnamurthy","1"
"Kandlbinder,T.","1"
"Murthy,Shekhar","1"
"Kishore,B.N.","1"
"Roy,SatyajitJ.","1"
"RajeshReddy,K.","1"
"Christensen,RichardN.","1"
"Shekhar,SumanMurthy","1"
"Sai,P.ST","1"
"Srinivasan,RajanA.","1"
"MurthyShekhar,S.","1"
"Low,D.EF","1"
"Suresan,H.","1"
"Purnima,P.","1"
"Saravanan,V.","1"
"Hervieu,Éric","1"
"Siddiqui,MumtarulINI","1"
"Chintala,T.N.","1"
"Tischer,Steffen","1"
"Miller,DonW.","1"
"Saravanan,V.","1"
"Saravanan,VijayalakshmiME","1"
"SatyamNaidu,V.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
