Scopus - Analyze author output

"Author name:","Kaisare, Niket S."
"Scopus author ID:","9274526600"

"Co-authors:","50"

"Co-author","Co-authored documents"

"Vlachos,DionisiosG.","21"
"Stefanidis,GeorgiosD.","10"
"Lee,JayH.","9"
"Regatte,VenkatReddy","5"
"Deshmukh,SoumitraR.","5"
"Narasimhan,SridharakumarL.","5"
"Maestri,Matteo","4"
"Fedorov,Andrei","3"
"Munusamy,Sudhakar","3"
"Sujith,RamanI.","2"
"Sudhakar,Muniyasami","2"
"Tronconi,Enrico","2"
"Lee,Jongmin","2"
"Mhadeshwar,AshishB.","2"
"Subramanian,Priya","2"
"Seshadri,Vikram","2"
"Pushpavanam,Subramaniam","2"
"Aghalayam,PreetiA.","2"
"Agharkar,Pushkarini","2"
"Lee,Jongmin","2"
"Srinivasan,Ramanathan","1"
"Selle,Gerhard","1"
"Peroni,CatalinaValencia","1"
"Renganathan,Thiruvengadam","1"
"Kumar,Nivedita","1"
"Pushpavanam,KarthikS.","1"
"Thimmineni,Ravikeerthi","1"
"Nandola,NareshN.","1"
"Anandhan,M.","1"
"Narasimhan,ShankarS.","1"
"Federici,JustinA.","1"
"Ramanathan,Karthik","1"
"Joy,Midhun","1"
"Ortmann,JeromeP.","1"
"Mukherjee,AritraKumar","1"
"Gupta,ArunKumar","1"
"Ravikeerthi,T.","1"
"Green,JohnW.","1"
"Iyer,ShachitS.","1"
"Agrawal,Gaurav","1"
"Seikel,Giulia","1"
"Kariwala,Vinay","1"
"Somdecerff,Peter","1"
"Varkey,Bijo","1"
"VasudevaKumar,Mantravadi","1"
"Kannan,Krishna","1"
"Ramani,Vimala","1"
"VenkatReddy,R.","1"
"Gopalakrishnan,AjitR.","1"
"Thyagarajan,Raghuram","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
