Scopus - Analyze author output

"Author name:","Kannan, Aravamudan S."
"Scopus author ID:","7006605669"

"Co-authors:","20"

"Co-author","Co-authored documents"

"Varma,MaheshN.","3"
"KrishnaSandilya,D.Krishna","2"
"Krishnan,Suresh","2"
"Subramanian,ManiP.","2"
"Harikrishnan,T.L.","1"
"Sandaka,P.ChGourisankar","1"
"Shah,DenishM.","1"
"Pathan,SadhiKhan","1"
"Joshi,ManishR.","1"
"Gopalaswami,R.","1"
"Kumaravel,M.","1"
"Jayanti,Sreenivas","1"
"Reddy,G.Ramalinga","1"
"Sundar,Akshaya","1"
"Kayalvizhi,R.","1"
"Ratheesh,S.","1"
"Kurian,Vinoj","1"
"Varma,Y.BG","1"
"Pradhan,Sasmita","1"
"Srinivasan,RajanA.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
