Scopus - Analyze author output

"Author name:","Mani, Ethayaraja"
"Scopus author ID:","36059677100"

"Co-authors:","22"

"Co-author","Co-authored documents"

"Basavaraj,MadivalaG.","8"
"Kegel,WillemK.","5"
"Groenewold,Jan","3"
"Sabapathy,Manigandan","3"
"Bolhuis,PeterG.","2"
"ChristdossPushpam,SamDavid","2"
"Roy,SoumyajitDawnDharma","2"
"Nallamilli,Trivikram","2"
"Sanz,Eduardo","2"
"Dugyala,VenkateshwarRao","2"
"Muthukuru,JyothiSri","1"
"Shelke,Yogesh","1"
"Mondal,Arobendo","1"
"Biswas,Subharanjan","1"
"Lechner,Wolfgang","1"
"Binks,BernardPaul","1"
"Dijkstra,Marjolein","1"
"Upendar,Siliveru","1"
"Löwen,HartmutW.","1"
"Kollabattula,Viswas","1"
"Tiwari,Ashwani","1"
"Anjali,ThiriveniG.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
