Scopus - Analyze author output

"Author name:","Narasimhan, Shankar S."
"Scopus author ID:","7103035728"

"Co-authors:","99"

"Co-author","Co-authored documents"

"Rengaswamy,Raghu","22"
"Patwardhan,SachinC.","11"
"Narasimhan,SridharakumarL.","6"
"Mah,RichardSH","6"
"Bhallamudi,S.Murty","5"
"Bhatt,NiravP.","5"
"Manuja,Seema","4"
"Bhattacharyya,Debangsu","4"
"Palleti,VenkataReddy","4"
"Srinivasarao,Modekurti","4"
"Shah,SirishLalji","4"
"Vachhani,Pramod","4"
"Villez,Kris","3"
"Ali,Yaqoob","3"
"Venkatasubramanian,Venkat","3"
"Kuppuraj,Vidyashankar","3"
"Reddy,H.Prashanth","3"
"MurtyBhallamudi,S.","3"
"Kumar,SantoshMohan","2"
"Tamhane,AjitC.","2"
"Gopaluni,Bhushan","2"
"Harikumar,P.","2"
"Srikanth,SrinivasanArun","2"
"Kumar,ShanmugamMohan","2"
"Joopudi,Sreeram","2"
"Sankar,GokulSiva","2"
"Kumar,D.MDarsha","2"
"Hale,JohnC.","2"
"Bairagi,S.","2"
"Mandela,RaviKumar","2"
"Prakash,JagadeesanUdaya","2"
"Rengasamy,Raghunathan","2"
"Srinivasan,Babji","2"
"Woodward,JoeW.","2"
"Deshpande,AnjaliP.","2"
"Srinivasan,Aravind","1"
"Sreeja,S.","1"
"Srikanth,Arun","1"
"Renganathan,Thiruvengadam","1"
"KumarMandela,Ravi","1"
"Rathi,SurajS.","1"
"Tangirala,ArunKumar","1"
"Deb,Kalyanmoy","1"
"Ranit,Usha","1"
"Ragot,José","1"
"Narayanan,Iyswarya","1"
"Narasimhan,Sridharakumar","1"
"DarshaKumar,D.M.","1"
"Brahmajosyula,Jagadeesh","1"
"Kaisare,NiketS.","1"
"Devalkar,SripadK.","1"
"Raghavendran,V.C.","1"
"Maurya,Deepak","1"
"Vidyashankar,K.","1"
"L.Shah,Sirish","1"
"Varma,K.VK","1"
"Mitna,Amit","1"
"Shivakumar,K.N.","1"
"Bonvin,Dominique","1"
"Billeter,Julien","1"
"Srinivasan,Sriniketh","1"
"Jayaraman,Guhan","1"
"Mukherjee,Joydeb","1"
"Murt,B.S.","1"
"Baikadi,AbhishekK.","1"
"EmtiyazKhan,Mohammad","1"
"NaveenKartik,C.K.","1"
"Sarangan,Venkatesh","1"
"Miller,RandyE.","1"
"MohanKumar,S.","1"
"Deo,MakarandC.","1"
"Suresh,Resmi","1"
"Sridhar,LakshmiN.","1"
"Teja,RaviRavi","1"
"Maquin,Didier","1"
"Bhallamuda,S.Murty","1"
"Senthil,K.","1"
"Naidu,B.J.","1"
"Mehta,R.KC","1"
"Jagadeesan,Prakash","1"
"Gupta,GaganRaj","1"
"Gonsalves,TimothyA.","1"
"Choudhury,SumanRoy","1"
"Rao,R.Ramesh","1"
"Kao,Chenshan","1"
"Tripathi,Anubhav","1"
"Sen,Sujoy","1"
"Vasan,Arunchandar","1"
"Srinivasan,Ranganathan","1"
"Sivasubramaniam,Anand","1"
"Soni,H.R.","1"
"Prakash,Jagadeesan","1"
"Geeta,B.","1"
"Kaur,MandeepS.","1"
"Raghavan,Harigopal","1"
"Gangwal,VikrantR.","1"
"Kumarasamy,Senthil","1"
"Gopalakrishnan,AjitR.","1"
"Sankaran,GaneshChennimalai","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
