Scopus - Analyze author output

"Author name:","Narasimhan, Sridharakumar L."
"Scopus author ID:","7103035792"

"Co-authors:","66"

"Co-author","Co-authored documents"

"Rengaswamy,Raghu","13"
"Murthy,KeshavaPN","11"
"Skogestad,Sigurd","7"
"Nabil,MohamedAltamis","6"
"Narasimhan,ShankarS.","6"
"Krishna,P.SR","6"
"Kaisare,NiketS.","5"
"Deo,MakarandC.","5"
"Ponmurugan,M.","5"
"Sridhar,VaddeboinaN.","4"
"Swaminathan,T.","4"
"Kumar,Abhishankar","4"
"Dasannacharya,B.A.","3"
"Srikanth,SrinivasanArun","3"
"Munusamy,Sudhakar","3"
"Goyal,PremSagar","3"
"Vachhani,Pramod","3"
"Sudhakar,Muniyasami","2"
"Rajarajan,AnakotK.","2"
"Baumgærtner,Artur","2"
"Vethamony,Ponnumony","2"
"Sankar,GokulSiva","2"
"Manum,Henrik","2"
"Nathan,JosephAmal","2"
"Sastry,J.S.","2"
"Jan,Nabilmagbool","1"
"Kelkar,V.K.","1"
"Srikanth,Arun","1"
"Chandramohan,PalogiV.","1"
"Vardharaj,L.","1"
"Menon,Govind","1"
"Manohar,C.V.","1"
"Premakanth,K.L.","1"
"Sreeram,JaswanthVN","1"
"Venugopalachar,B.","1"
"Ray,SamarendraK.","1"
"Srinivasan,Ranganathan","1"
"Ramanadham,M.","1"
"Vadigepalli,Rajanikanth","1"
"Chakravarthy,R.","1"
"Mayya,YeliaShankaranarayanaM","1"
"Bhushan,Mani","1"
"Dwarkanath,N.","1"
"Des,M.C.","1"
"Rao,KallakuriRPM","1"
"Gundappa,Madhukar","1"
"Valaulikar,B.S.","1"
"Mukhopadhyay,Saswata","1"
"Rudra,S.","1"
"MohanKumar,S.","1"
"Lersbamrungsuk,Veerayut","1"
"Murthy,MustiVS","1"
"Dahl-Olsen,Håkon","1"
"Ojha,R.D.","1"
"Ramachandran,V.","1"
"Senthil,K.","1"
"Abburi,Tejaswi","1"
"Srinophakun,ThongchaiRohitatisha","1"
"Ghoshal,S.","1"
"Chaudhry,D.","1"
"Sekar,R.C.","1"
"Akolkar,P.M.","1"
"Desa,J.AErwin","1"
"Jäschke,Johannes","1"
"Bombois,Xavier","1"
"MurtyBhallamudi,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
