Scopus - Analyze author output

"Author name:","Panda, Tapobrata K."
"Scopus author ID:","7006104346"

"Co-authors:","90"

"Co-author","Co-authored documents"

"Naidu,G.SathyaNarayana","9"
"Felse,ArthurArthur","8"
"VenkataDasu,Veeranki","8"
"Théodore,Kalaimahan","8"
"Muralidhar,ReddivariV.","7"
"Babu,PodaSureshR","6"
"Pazouki,Mohammad","5"
"Théodore,Thomas","5"
"Singha,Siddhartha","5"
"Sinha,Jayanta","5"
"Basak,Tanmay","5"
"Rakshit,SudipKumar","5"
"Das,SaritK.","5"
"Srinivas,RangaV.","4"
"Gokul,Boyapati","4"
"Bisaria,VirendraSwarup","4"
"Gummadi,SathyanarayanaNaidu","4"
"Kapat,Arnab","4"
"SivaKesava,S.","4"
"Kumari,J.Anjani","4"
"Nair,SushmaR.","4"
"Chidambaram,Manickam","3"
"Song,Kibang","3"
"JagannadhaRao,K.","3"
"Ghose,TarunK.","3"
"Murugesan,Nithya","3"
"Seenivasan,Ayothiraman","3"
"Lee,JeHyuk","3"
"Rhee,Sangki","3"
"Thilakavathi,Mani","3"
"Kim,Chulho","3"
"Deepa,KannanS.","3"
"Prasanna,G.L.","2"
"Rao,D.Subba","2"
"Balamurugan,Krishnaswamy","2"
"Gowrishankar,B.S.","2"
"Saraswathi,Ganesan","2"
"AnjaniKumari,J.","2"
"SubbaRao,DurvasulaVenkata","2"
"Bandyopadhyay,KaushikK.","1"
"Ramesh,Nivarthi","1"
"Uma,S.","1"
"Göhl,M.","1"
"LakshmiPrasanna,G.","1"
"Rao,D.S.","1"
"Chandrashekar,K.","1"
"Hasan,ShaziaMNayeem","1"
"Dey,P.K.","1"
"Kumar,MayankPremSridhar","1"
"Buehler,FrédéricU.","1"
"Li,Yuxing","1"
"Rameshaiah,G.N.","1"
"Nair,PraseethaP.","1"
"Dey,Sanchareeka","1"
"Sajanlal,PanikkanvalappilRavindranathan","1"
"Gruber,Hedwig","1"
"JagannandhaRao,K.","1"
"Rana,DebSankar","1"
"Iyer,R.Indira","1"
"Dash,PriyadarshiniK.","1"
"Sattur,AvinashPrahlad","1"
"Srividya,Kailasam","1"
"Lal,N.","1"
"Dasu,VeerankiVenkata","1"
"Majumdar,SarojKanti","1"
"Sreenivas,R.","1"
"Chen,Hsiumei","1"
"Udupa,MRRamakrishna","1"
"Kundu,Subir","1"
"Kubicek,ChristianPeter","1"
"Sahoo,Nilamani","1"
"Srinivas,D.","1"
"Dubey,Hitesh","1"
"Guha,Barun","1"
"Rao,P.P.","1"
"Iyer,R.Indira","1"
"Chandrasekhar,K.","1"
"Pradeep,ThalappilP.","1"
"AmuthaDevi,V.","1"
"AslamBasha,Z.","1"
"Biswal,BirendraK.","1"
"Poulose,Subin","1"
"Thukral,V.","1"
"Reilly,PeterJ.","1"
"Dammertz,W.","1"
"Sarangi,NirodKumar","1"
"Panigrahi,BijayaKetan","1"
"Ghosh,Soham","1"
"Mantha,D.","1"
"Ford,ClarkF.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
