Scopus - Analyze author output

"Author name:","Ramanathan, Srinivasan"
"Scopus author ID:","56062232200"

"Co-authors:","35"

"Co-author","Co-authored documents"

"Manivannan,Ramachandran","6"
"Praveen,B.VS","4"
"Park,Jingoo","4"
"NagendraPrasad,Y.","4"
"Cho,Byoungjun","4"
"Park,Jingoo","3"
"PrasannaVenkatesh,R.","3"
"Fasmin,Fathima","2"
"Chandrasekaran,Sekaran","2"
"Victoria,S.Noyel","2"
"Venkatesh,RajanPrasanna","2"
"Basak,Tanmay","2"
"Sekhar,M.Surya","2"
"VinodKumar,V.","2"
"Jebaraj,JosiahJM","1"
"Sen,Debasis","1"
"Suni,IanIvar","1"
"Nagarajan,Ramamurthy","1"
"Venunath,Vineeth","1"
"Kumar,VinodPradeep","1"
"Chand,DillipKumar","1"
"Kakade,M.B.","1"
"Hailin,Xiong","1"
"Prasad,YogeshNagendra","1"
"Patra,AjayK.","1"
"Maddala,Jeevan","1"
"Sambath,Krishnaraj","1"
"Umashankar,T.D.","1"
"Prasad,RamAM","1"
"Athilakshmi,Jeyaraman","1"
"Kwon,Taeyoung","1"
"Kim,Hyukmin","1"
"Soni,N.C.","1"
"Roy,SujitKumar","1"
"Mazumder,SubhasishMitra","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
