Scopus - Analyze author output

"Author name:","Renganathan, Thiruvengadam"
"Scopus author ID:","6507100442"

"Co-authors:","21"

"Co-author","Co-authored documents"

"Krishnaiah,Kamatam","11"
"Pushpavanam,Subramaniam","6"
"Nagarajan,K.","2"
"Cho,Youngsang","2"
"Prajapati,Aditya","2"
"Voolapalli,RaviKumar","2"
"Kaza,Marutiram","1"
"Trivedi,R.","1"
"Yadav,ManojV.","1"
"Kaisare,NiketS.","1"
"Sarkar,Sabita","1"
"Samdavid,S.","1"
"Narasimhan,ShankarS.","1"
"Ravikiran,Anapagaddi","1"
"Iyer,ShachitS.","1"
"Krishnaiah,K.","1"
"VasudevaKumar,Mantravadi","1"
"Shukla,AjayKumar","1"
"Guruprasad,R.","1"
"Prasad,Kali","1"
"Dhirhi,Ravindra","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
