Scopus - Analyze author output

"Author name:","Rengasamy, Raghunathan"
"Scopus author ID:","23978327300"

"Co-authors:","10"

"Co-author","Co-authored documents"

"Bhattacharyya,Debangsu","3"
"Palleti,VenkataReddy","2"
"Narasimhan,ShankarS.","2"
"Maddala,Jeevan","2"
"Bullecks,Brian","2"
"Raman,S.","1"
"Caine,Finnerty","1"
"Turton,RichardA.","1"
"Srinivasarao,Modekurti","1"
"Srinivasan,Babji","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
