Scopus - Analyze author output

"Author name:","Sai, P. S T"
"Scopus author ID:","7006443617"

"Co-authors:","29"

"Co-author","Co-authored documents"

"Krishnaiah,Kamatam","10"
"Bruce,A.ER","7"
"Dhanalakshmi,J.","5"
"Palappan,K.Ganesh","5"
"Balakrishnan,ArcotR.","5"
"Shilapuram,Vidyasagar","2"
"Mandal,Sujan","2"
"Roy,SatyajitJ.","2"
"Varma,Y.BG","2"
"Vidyasagar,Shilapuram","2"
"Ramakrishnan,Vidya","1"
"Kunjummen,B.","1"
"Voore,Tanmay","1"
"Kasliwal,Pankaj","1"
"Sindhu,H.","1"
"Linga,Avaneendra","1"
"Raghavan,KondapuramVijaya","1"
"Vijayaraghavan,Ranganathan","1"
"Jayanti,Sreenivas","1"
"Swathi,P.","1"
"Theodore,S.","1"
"Dinesh,Loni","1"
"Beula,C.","1"
"Sriram,V.","1"
"Kuchibhotla,Sarvani","1"
"Vinay,W.A.","1"
"Rao,Paruchurigangadhar","1"
"Balasubramanian,Ravi","1"
"ShyamPrasad,T.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
