Scopus - Analyze author output

"Author name:","Tangirala, Arun Kumar"
"Scopus author ID:","6506360837"

"Co-authors:","50"

"Co-author","Co-authored documents"

"Shah,SirishLalji","9"
"Perepu,SatheeshK.","8"
"Gigi,S.","4"
"Chen,Tongwen","4"
"Srinivasan,Babji","4"
"Mukhopadhyay,SiddharthaC.","3"
"Patwardhan,RohitS.","3"
"Selvanathan,S.","2"
"Ormsbee,LindellE.","2"
"Jose,Sandeep","2"
"Li,Dongguang","2"
"Teegavarapu,RameshSV","2"
"Vasu,G.","2"
"Tiwari,AkhilanandPati","2"
"Raghavan,Harigopal","2"
"Ogony,JoshuaW.","1"
"Jiang,Wei","1"
"Yerramilli,Suraj","1"
"Chidambaram,Manickam","1"
"Kaw,Sehej","1"
"Gopaluni,Bhushan","1"
"Karimi,Alireza","1"
"Maurya,Deepak","1"
"Narasimhan,ShankarS.","1"
"Gorai,P.","1"
"LakshmanaRao,C.","1"
"Mahapatra,U.","1"
"Vadigepalli,Rajanikanth","1"
"Anni,Eleni","1"
"Viswanathan,Balasubramanian","1"
"Kannan,Rohit","1"
"Liu,Hancong","1"
"Garg,Abhinav","1"
"Kathari,Sudhakar","1"
"Dhathathreyan,KaveripatnamS.","1"
"Guruprasath,M.","1"
"Rajagopalan,Sreekanth","1"
"Kavitha,S.Peter","1"
"Ramarathnam,J.","1"
"Sivaramakrishnan,S.","1"
"Rao,C.Lakshmana","1"
"Kanodia,JitendraS.","1"
"Gopalakrishnan,E.","1"
"Jeevan,Medikonda","1"
"Zhang,Haitao","1"
"Thornhill,N.F.","1"
"Saha,Subir","1"
"Shah,SirishL.","1"
"Gupta,AnshuK.","1"
"Kathirmani,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
