Scopus - Analyze author output

"Author name:","Vijayaraghavan, Kuppusamy"
"Scopus author ID:","15849473800"

"Co-authors:","72"

"Co-author","Co-authored documents"

"Velan,ManickamSenthil","22"
"Yun,Yeoung-Sang","22"
"Balasubramanian,Rajasekhar","21"
"Joshi,UmidMan","16"
"Jegan,JosephrajRaj","14"
"Palanivelu,KandasamyM.","12"
"Sathishkumar,Muthuswamy","10"
"Won,Sungwook","9"
"Padmesh,T.VN","6"
"Mao,Juan","6"
"Kamala-Kannan,Seralathan","6"
"Janaki,V.","5"
"Mahadevan,Arun","5"
"Sekaran,Ganesan","4"
"Cho,Chulwoong","4"
"Senthilkumar,Ramalingham","4"
"Pham,ThiPhuongThuy","4"
"Raja,FranklinD.","4"
"Pavagadhi,Shruti","4"
"Ramasamy,AnaipalayamKandasamy","4"
"Oh,Byungtaek","3"
"Thilakavathi,Mani","3"
"Vijayaraghavan,Josephraj","3"
"BhagavathiPushpa,T.","3"
"Yun,Seieok","2"
"Premkumar,Y.","2"
"SardharBasha,S.J.","2"
"Praveen,R.S.","2"
"Arockiaraj,Jesu","2"
"Binupriya,ArthurRaj","2"
"Choi,JGG.","2"
"Kim,Sok","2"
"Ashokkumar,Thirunavukkarasu","2"
"Lee,Kuijae","2"
"Choi,Sunbeom","2"
"Jeon,YouChul","2"
"Iyer,PuthugramamVenkitakrishnanRamachandra","2"
"Lee,Minwoo","2"
"Ong,SayLeong","2"
"Binupriya,ARR.","2"
"Chung,Bongwoo","1"
"Burger,DavidF.","1"
"Rangabhashiyam,S.","1"
"Yun,SunI.","1"
"Quek,Augustine","1"
"Shanthi,KuppusamyC.","1"
"Badavane,Anay","1"
"Prabhakaran,SyamK.","1"
"Kayalvizhi,Karuppsamy","1"
"Ku,ChangSub","1"
"Anand,KrishnanA.","1"
"Yun,Soonil","1"
"Juan,Mao","1"
"Teo,TingTing","1"
"Sekaran,V.","1"
"Choe,WooSeok","1"
"Sukumar,C.","1"
"Perumal,SundararajanVenkatesa","1"
"Gupta,SunnyG.","1"
"Muthuchelian,Krishnasamy","1"
"Oh,Byungtaek","1"
"Stephan,ArulManuel","1"
"Prabu,D.","1"
"Kim,Youngran","1"
"Min,Jiho","1"
"Kim,Seolah","1"
"Reuben,Sheela","1"
"Ping,Han","1"
"Winnie,H.YN","1"
"Han,MinHee","1"
"Kim,Jinwon","1"
"Segovia,ElvagrisF.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
