Scopus - Analyze author output

"Author name:","Agrawal, Shweta A."
"Scopus author ID:","56217479500"

"Co-authors:","33"

"Co-author","Co-authored documents"

"Boyen,Xavier","4"
"Sahai,Amit","4"
"Boneh,Dan","4"
"Vaikuntanathan,Vinod","4"
"Prabhakaran,ManojM.","3"
"Vishwanath,Sriram","3"
"Freeman,DavidMandell","2"
"Agrawal,ShashankK.","2"
"Wee,Hoeteck","2"
"Dodis,Yevgeniy","1"
"Pandey,RichaK.","1"
"Gelles,Ran","1"
"Das,AbhikKumar","1"
"Anshuman,S.","1"
"Nagori,MeghanaB.","1"
"Stehlé,Damien","1"
"Kumarasubramanian,Abishek","1"
"Bhunia,Dipendu","1"
"Gorbunov,Sergey","1"
"Jain,AbhishekKumar","1"
"Ishai,Yuval","1"
"Mane,T.N.","1"
"Badrinarayanan,Saikrishna","1"
"Wichs,Daniel","1"
"Halevi,Shai","1"
"Kamal,Raj","1"
"Goyal,Vipul","1"
"Khurana,Dakshita","1"
"Libert,Benoît","1"
"Paskin-Cherniavsky,Anat","1"
"Voulgaris,Panagiotis","1"
"Gentry,Craig","1"
"Rajkamal","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
