Scopus - Analyze author output

"Author name:","Augustine, John E."
"Scopus author ID:","8367552100"

"Co-authors:","60"

"Co-author","Co-authored documents"

"Pandurangan,Gopal","7"
"Upfal,Eli","6"
"Robinson,PeterJeannie","5"
"Irani,SandyS.","4"
"Fanelli,Angelo","4"
"Roy,Sasanka","4"
"Palem,KrishnaV.","3"
"Gravin,NickV.","3"
"Lodha,SachinP.","2"
"Loden,Philip","2"
"Chen,Ning","2"
"Yenugula,Sreelatha","2"
"Swamy,ChaitanyaSaikrishna","2"
"Caragiannis,Ioannis","2"
"Han,Qi","2"
"Banerjee,Sudarshan","2"
"Parishkrati","2"
"Sivasubramaniam,Sumathi","2"
"Kalaitzis,Christos","2"
"Elkind,Edith","2"
"Shiryaev,DmitryYu","2"
"Kulkarni,Tejas","2"
"Rajaraman,Rajmohan","1"
"Natu,Maitreya","1"
"Düben,PeterD.","1"
"Palmer,TimN.","1"
"Jeswani,Deepak","1"
"Enz,ChristianC.","1"
"Schlachter,Jeremy","1"
"Putnam,Brian","1"
"Nandy,SubhasChandra","1"
"Golin,MordecaiJ.","1"
"Molla,AnisurRahaman","1"
"Srikanthan,Prashanth","1"
"Xu,Yinfeng","1"
"Bhargava,Ayush","1"
"Eppstein,David","1"
"Das,Sandip","1"
"Seiden,StevenS.","1"
"Morsy,Ehab","1"
"Su,Bing","1"
"Cheng,Siuwing","1"
"Patil,Dinesh","1"
"Avin,Chen","1"
"Maiti,Biswaroop","1"
"Korde,Nakul","1"
"Liaee,Mehraneh","1"
"Roche,ScottT.","1"
"Higashikawa,Yuya","1"
"Maheshwari,Anil","1"
"Wortman,KevinA.","1"
"Moses,WilliamK.","1"
"Aly,MohamedMReda","1"
"Katoh,Naoki","1"
"Ni,Guanqun","1"
"Sarvattomananda,Swami","1"
"Robinson,Peter","1"
"Ingole,Ashutosh","1"
"Redlich,Amanda","1"
"Arumugam,GuruPrakash","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
