Scopus - Analyze author output

"Author name:","Chandra Sekhar, C."
"Scopus author ID:","55664018800"

"Co-authors:","24"

"Co-author","Co-authored documents"

"Dileep,AroorDinesh","10"
"Yegnanarayana,Bayya","6"
"Gangashetty,SuryakanthV.","4"
"Chandrakala,S.","4"
"Veena,T.","4"
"Balasanjeevi,B.","1"
"Chakravarthy,VaddadiSrinivasa","1"
"NayeemullaKhan,A.","1"
"Anitha,RamalingamU.","1"
"Murthy,HemaA.","1"
"Chevireddy,Sadhana","1"
"KiniB.,Venkataramana","1"
"Mishra,HarendraKumar","1"
"Sudha,N.","1"
"SivaRamaKrishnaRao,J.Y.","1"
"Suguna,Ramadass","1"
"VenkataramanaKim,B.","1"
"Swethalakshmi,H.","1"
"Prakash,SuryaR.","1"
"SreenivasaRao,K.","1"
"Palaniswami,MarimuthuSwami","1"
"VenkataramanaKini,B.","1"
"Sahu,VedPrakash","1"
"VijayaRamaRaju,A.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
