Scopus - Analyze author output

"Author name:","Das, Sukhendu"
"Scopus author ID:","55605761974"

"Co-authors:","13"

"Co-author","Co-authored documents"

"Samanta,Suranjana","4"
"Banerjee,Samik","2"
"Gupta,Nitin","2"
"Christensen,D.","1"
"Srivastava,AshokN.","1"
"Selvan,TirumaraiA.","1"
"Chakraborti,Sutanu","1"
"Dwivedi,Gyanesh","1"
"Bhattacharjee,Rajib","1"
"Harit,Gaurav","1"
"Das,BipulN.","1"
"Chakrabarty,SoumyabrataB.","1"
"Roy,Sudeshna","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
