Scopus - Analyze author output

"Author name:","Das, Sukhendu"
"Scopus author ID:","55476994500"

"Co-authors:","59"

"Co-author","Co-authored documents"

"Samanta,Suranjana","12"
"Chattopadhyay,Chiranjoy","9"
"Swaminathan,KannanR.","6"
"Das,BipulN.","5"
"Shrivastava,Prateek","5"
"Dyana,A.","5"
"Varghese,KoshyC.","4"
"Gupta,LalitaMadanM","3"
"Pathangay,Vinod","3"
"Mangai,UttharaGosa","3"
"Balasubramanian,Raja","3"
"Gupta,Nitin","3"
"Mirnalinee,T.T.","3"
"Yegnanarayana,Bayya","2"
"Kamakoti,Veezhinathan","2"
"Kalra,Manisha","2"
"Joseph,MinuMary","2"
"Chowdhury,PinakiRoy","2"
"Greiner,Thomas","2"
"Chakraborti,Sutanu","2"
"Sharma,Renu","2"
"Sengupta,Sunando","2"
"Patra,Arpita","2"
"Joshi,PadmajaV.","2"
"Balasubramanian,Ramachandran","2"
"Khemani,DeepakEEPAK","2"
"PavanKumar,A.","2"
"Roy,Sudeshna","2"
"SarithaV","1"
"Thomas,Babu","1"
"Sinha,LokeshK.","1"
"Balasubramanian,Ramprasad","1"
"Rao,ShivaniG.","1"
"Parida,Debashis","1"
"Selvan,TirumaraiA.","1"
"Saritha,V.","1"
"Abhilash,R.","1"
"Shrivastava,Ankit","1"
"TirumaraiSelvan,A.","1"
"Vora,Megha","1"
"Mittal,Anurag","1"
"Datta,AmitavaK.","1"
"Dwivedi,Gyanesh","1"
"Jain,HimanshuPrakash","1"
"Banerjee,Samik","1"
"Ramachandran,Aishwarya","1"
"Bhattacharjee,SreyaseeDas","1"
"Palanivel,S.","1"
"Chowdhury,PinakiRoy","1"
"Dutta,AmitavaKumar","1"
"Rakshit,Subrata","1"
"Eamesh,S.","1"
"Rudrani,Shiva","1"
"Prakash,SuryaV.","1"
"Subramanian,ManiP.","1"
"Chakrabarty,SoumyabrataB.","1"
"Udayabaskaran,Swaminathan","1"
"Subramanian,Anbumani","1"
"Selvan,A.Tirumarai","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
