Scopus - Analyze author output

"Author name:","Janaki Ram, D."
"Scopus author ID:","6602413143"

"Co-authors:","18"

"Co-author","Co-authored documents"

"Joshi,RushikeshK.","3"
"Raju,S.VGK","2"
"UmaMahesh,M.","2"
"ChandraSekharaiah,Kangaluru","2"
"ChandraSekhar,N.SK","2"
"Sreekanth,M.","2"
"Pasala,Anjaneyulu","1"
"Arun,Krishnamoorthy","1"
"Sreenivas,T.H.","1"
"Rajasree,M.S.","1"
"Binu,K.J.","1"
"Vivekananda,N.","1"
"Anantharaman,K.N.","1"
"Vivekananda,N.","1"
"AnandaRao,A.","1"
"Guruprasad,K.N.","1"
"Babu,ChitraNarendra","1"
"GanapathySubramaniam,K.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
